str_briton_slave|布立吞农奴后备队
str_briton_bowman|布立吞随仆游击队
str_briton_marksman|布立吞资深随仆游击队
str_briton_level0_landed|布立吞自由民后备队
str_briton_level1_landed|布立吞持矛兵第三纵队
str_briton_level2_landed|布立吞资深持矛兵第二纵队
str_briton_level3_landed|布立吞贵族第一纵队
str_briton_level0_companion|布立吞战士后排
str_briton_level1_companion|布立吞剑术大师中排
str_briton_level2_companion|布立吞侍卫前排
str_briton_horseman|布立吞轻骑兵
str_saxon_slave|埃赫·莱德轻骑兵
str_saxon_bowman|托伊塞赫骑士
str_saxon_level0_landed|撒克逊农民后备队
str_saxon_level1_landed|斯乔坦德弓兵
str_saxon_level2_landed|奥特塞特拉征召后排
str_saxon_level3_landed|乔古斯征召第三列
str_saxon_level0_companion|杜古斯征召第二列
str_saxon_level1_companion|盎格鲁资深卫兵中排
str_saxon_level2_companion|皮科特侍卫前排
str_saxon_horseman|盎格鲁骑兵
str_scotch_peasant|里德维加骑兵
str_scotch_bowman|佩塔后备队
str_scotch_level0_skirmisher|富迪尔散兵
str_scotch_level1_skirmisher|赛奥格迪尔散兵
str_scotch_level0_landed|戈伊德尔民兵后备队
str_scotch_level1_landed|克鲁伊尼散兵
str_scotch_level2_landed|博塔赫征召后排
str_scotch_level0_companion|奥克廷根征召中排
str_scotch_level1_companion|迪乌贝尔征召中排
str_scotch_level2_companion|克里赫·斯卢赫剑士后排
str_scotch_horseman|布鲁伊德剑士后排
str_scotch_knight|盖斯吉迪剑术大师前排
str_angle_slave|埃赫·莱德轻骑兵
str_angle_bowman|托伊塞赫骑士
str_angle_level0_landed|格布尔后备队
str_angle_level1_landed|斯乔坦德弓兵
str_angle_level2_landed|奥特塞特拉征召后排
str_angle_level3_landed|乔古斯征召第三列
str_angle_level0_companion|杜古斯征召第二列
str_angle_level1_companion|盎格鲁资深卫兵中排
str_angle_level2_companion|皮科特侍卫前排
str_angle_horseman|盎格鲁骑兵
str_irish_slave|戈伊德尔农奴后备队
str_irish_bowman|戈伊德尔随仆游击队
str_irish_level0_skirmisher|戈伊德尔资深随仆游击队
str_irish_level1_skirmisher|戈伊德尔轻步兵游击队
str_irish_level0_landed|戈伊德尔民兵后备队
str_irish_level1_landed|戈伊德尔持矛兵第三纵队
str_irish_level2_landed|戈伊德尔资深持矛兵第二纵队
str_irish_level3_landed|戈伊德尔贵族第一纵队
str_irish_level0_companion|布立吞战士
str_irish_level1_companion|戈伊德尔卫兵
str_irish_horseman|戈伊德尔轻骑兵
str_irish_knight|戈伊德尔骑马侍卫
str_multi_scene_coast|海岸
str_multi_scene_fjord|峡湾
str_multi_scene_islands|群岛
str_set_goal_custom|自定义
str_set_goal_raider|臭名昭著的强盗
str_set_goal_warrior|声名远扬的勇士
str_set_goal_lord|实力强大的领主
str_set_goal_king|威震四方的国王
str_set_goal_expand|统一稳定的王国
str_set_goal_custom_hint|你已经选择了自己的道路。
str_set_goal_raider_hint|洗劫城镇，追捕村民。无人能逃脱你的威胁。利用快船前往远方，把避难所当作安全的家。
str_set_goal_warrior_hint|你希望成为伟大的战士。参加比武，保护村民，攻打山贼，护送商队。城镇与村庄里活计不断，但别忘了，荣耀只在战场诞生。
str_set_goal_lord_hint|平凡生活不适合你。你想成为贵族，统率大军，坐拥领地，被尊为一方之主。
str_set_goal_king_hint|你的野心无边无际。为荣耀、权力与黄金而战。你将树敌无数，四面受敌！
str_set_goal_expand_hint|山丘小堡难填欲壑。你渴望加冕为至高之王。磨剑聚兵，战争将至！
str_view_goal_hint_renown|声望：你渴望名扬天下。赢得战斗与竞赛，完成任务。声望越高，可统之兵越多，贵族越敬你，雇佣兵越强！
str_view_goal_hint_reputation|名声：做英雄还是恶棍。你的行为左右世人看法，影响阵营关系，甚至婚配机会。
str_view_goal_hint_army|部队：需平衡兵力。精兵耗费更高。试着让高级兵种占全军的四分之一。
str_view_goal_hint_marry|婚姻带来宴会、竞赛，以及治理王国的得力助手，还能提升你的统治权！
str_view_goal_hint_right_to_rule|统治权对国王至关重要，决定其他阵营如何看待你，影响外交。
str_view_goal_hint_wealth|财富：战争昂贵。军饷、粮草、训练、装备、医师、美酒……早做准备！
str_set_goal_trigger_new_game|充满冒险的新世界等你探索！^^若首次游玩^维京征服沙盒^请查看“设定目标”指引^了解游戏内容^并规划下一步！^^（打开角色报告^统计，选择目标）
str_set_goal_already_completed|（你已达成此目标！）
str_set_goal_you_are_a_noble|（你是贵族或雇佣兵，^不能背弃誓言！）
str_set_goal_open_button_label|选择一个目标
str_set_goal_open_button_label2|查看你的目标
str_set_goal_complete_goal|你达成了目标！^^没有什么任务能难倒你！^^^为你的成就欢呼吧，^然后准备迎接接下来的挑战！
str_set_goal_half_way_there|你还需要完成许多任务才能达成目标！
str_set_goal_almost_there|你离目标仅一步之遥！
str_set_goal_custom_reward|自定义目标完成：无特殊奖励！
str_set_goal_raider_reward|劫掠者目标完成：雇佣兵加入了你的队伍！
str_set_goal_warrior_reward|战士目标完成：你的剑术更精进了！
str_set_goal_lord_reward|领主目标完成：同阵营的友好领主对你刮目相看，一位{reg0?诺斯奥丁祭司:牧师}加入了你的战团，你还赢得了一头牛，让弟兄们能享用香醇的黄油！
str_set_goal_king_reward|国王目标完成：雇佣兵加入了你的队伍，你还获得了一本珍贵的典籍！
str_set_goal_expand_reward|稳固王国目标完成：友好的王国对你钦佩不已，你还赢得了一把稀世之剑！
str_com_companions|同伴：
str_com_view_companions|查看同伴
str_com_s0|{s0}
str_com_debug_1|NPC角色图片 = {s0}, id =
str_com_debug_2|点击部队：{s1}, id =
str_com_heroes|英雄
str_com_morale_reg0|{s1}^^士气：{reg0}
str_com_relation_reg12|{s1}^^关系：{reg12}
str_com_catholic|{s1}^^宗教：基督教
str_com_pagan|{s1}^^宗教：多神教
str_tactical_controls|使用小键盘数字键选择一支分队。按0选中全部兵力。^^用F1-F4向已选分队下达命令。按住F1键不放即可部署所选分队，还能借此锁定敌方分队。^^按回车键通常启动俯瞰战略视角。^^按退格键通常打开带“雷达”的战斗指挥界面。^^
str_division_placement|选中单一分队时，其前排中心会落在指定位置。^^选中多支分队时，它们会分散展开，仿佛玩家正站在指定点。^^按F2、F7可记忆所选分队相对于玩家的部署；默认步兵居左、骑兵居右、远程居前。^^
str_formations|战斗菜单中的复杂阵形如下：^^- 纵阵：精锐居前^^- 盾墙：持盾者在前，长兵在后^^- 楔形阵：精锐居前^^- 方阵：无特定排序^^- 无阵形^^即使选最后一项，玩家也可通过多次“靠拢”命令排成最多四线。^^
str_log_created|已生成日志，请查看rgl log.txt！
str_debug_log_print2|{s30}^日志结束。^^
str_print_player_trade|{reg1}件货物价值{reg2}，另有{reg3}件物品价值{reg4}^^
str_multi_game_type_desc_10|^农民们奋起保卫家园，抵御劫掠者！^^村民人数占优，但劫掠者装备远胜。^
str_beginner|新手
str_normal|普通
str_hardcore|硬核
str_recruitment|募兵：
str_levelling|升级：
str_budget|预算：
str_stamina|耐力：
str_gear_affects_skills|装备影响技能：
str_resting_morale|休息提升士气：
str_insane_difficult|疯狂难度：
str_gore|血腥：
str_disable_scenic_menu|关闭场景菜单：
str_shield_bash|盾击：
str_disable_complex_formations|关闭复杂阵形:
str_have_formations_face_enemy|自动转向面对敌军组阵:
str_players_enemies_only_attack|玩家的敌人只攻击:
str_music_in_battles|战斗音乐更换:
str_damage_to_player|玩家受伤:
str_damage_to_friends|友军伤害:
str_combat_ai|战斗AI:
str_campaign_ai|战略AI:
str_movement_and_combat_speed|战斗速度:
str_battle_size|战役规模:
str_difficulty_setting|难度设置
str_realism_feature|真实特征
str_special_setting|特殊设置
str_formation_feature|阵形设置
str_performance_feature|性能设置
str_battle_size_text|限制一场战役中士兵的最大数量。如果你的设备在战斗中表现欠佳，试试减少战场人数。^还有尝试设置显示选项，你可以通过主目录或游戏过程中按ESC 进行设置。
str_this_setting_affects_all|这项设定将影响到玩家与所有游戏角色。
str_game_concepts_tutorial|^^到了现在，你已经对维京征服有了一些经验。如果这是你的第一次游戏，我们建议你先熟悉一下游戏的基本概念。你现在将被引导至说明页面。^^你在大地图模式下随时能够回到这个页面。只要点击“笔记”按钮中的“游戏概念”即可。
str_wounds|受伤：
str_blood_loss|失血：
str_quantity_bandit_parties|山贼团：
str_game_difficulty_warning|游戏难度警告
str_game_difficulty_warning_desc|在当前的战略AI水平下，山贼团中的{s1}支将在生成时强于玩家，它们的规模将超过{reg1}人。^^如有必要，可以通过ESC菜单中重置当前AI水平。乱军不会受到影响，而海盗部队总是至少拥有一条船（30人）。
str_player_division|玩家队列：
str_poll_cooldown|投票延时(秒)
str_polls_disabled_for_reg1|投票被禁用{reg1}秒。
str_poll_cooldown_is_now_reg1|现在投票延时是{reg1}秒。
str_poll_change_gametype|{s0}发起投票更换游戏模式至{s1}。
str_poll_to_change_gametype|投票更换模式至{s1}: 1=接受，2=反对
str_make_gametype_voteable|允许投票更改游戏模式
str_changing_gametype_is_voteable|允许投票更改游戏模式
str_changing_gametype_is_not_voteable|不能投票更改游戏模式
str_weapon_break|易损的装备：
str_no_suit_religion|你不可能和我结婚，因为你我甚至不信仰同样的神！改变信仰，我们才可以再次讨论这个话题。
str_modifications|None
