ip_armies_size|部队规模
ip_armies_size_text|你的部队规模，与领主们一样，取决于几个因素：^^统御：每点增加部队上限5人。拥有统御技能的伙伴可协助带队。^^魅力：每点魅力增加部队上限1人。它代表你号召他人追随的能力。^^声望：每9点声望增加部队上限1人。名声会吸引追随者。^^领地：每座城镇增加80人，每座城堡增加40人。这些地方代表你能征召的民兵。^^记住，海上部队规模受船只容量限制。多余的部队可留在定居点守军、玩家避难所（建成后）或任意军营中。
ip_morale|士气
ip_morale_text|士气体现部队在行军与战斗中唤起耐力、勇气与纪律的能力与意愿，不等同于士兵的快乐。精锐部队可能抱怨艰苦，但箭雨一来便团结如铁；而一味满足士兵的指挥官，可能发现他们变得软弱，在敌骑冲锋前溃散。^^士气主要影响战场表现：决定部队进攻的凶猛程度，以及在战局不利时溃逃的可能。它也影响行军速度：士气低者走得慢，常停下来等掉队者。士气极低时，会出现逃兵。^^部分因素显而易见：常胜而有魅力的指挥官能提振信心；充足多样的食物、按时发饷，显示对士兵的关怀。^^另一些因素关乎团队凝聚力：小而紧密的队伍，士兵会为不示弱而奋战；大部队则易生嫌隙，因指挥官无暇倾听与调解。频繁作战能增进袍泽之情，长期无战则使人无聊争吵。^^点击“角色”界面中的“部队信息”按钮，可查看影响士气的详细报告。
ip_economy|经济
ip_economy_text|北地的城镇与村庄需要多样货物，才能让人口健康、生产兴旺。首要的是粮食：谷物为主，还需肉、鱼、奶酪提供的脂肪与蛋白。保存肉与制肉同样费力，故盐需求极大。其次是衣：厚羊毛、轻亚麻、华贵天鹅绒。最后需工具：铁器、陶器、皮革，以及战马、武器、盔甲。^^农产品多产自村庄，城镇工匠专精制成品，如织物、铁器。各地资源不同，故繁荣关键在贸易——村与镇、镇与镇之间皆然。^^贸易畅通，货物充足价廉，人口健康活跃，移民自四方来；生产、消费、税收俱增。贸易断绝，工人外流，经济停滞。因此，统治者须护商道免遭战火与盗匪。精明的商人则可寻找被孤立的城镇，利用价差牟利。^^村民通常把货物运往城镇，故村市冷清，他们贱买贵卖。正经商人守在城镇，偶有队伍进村补给。^^玩家可向镇长询问影响地区繁荣的因素；路人也能提供信息，但多限于本行。
ip_courtship|求爱
ip_courtship_text|你可与北地贵族联姻。婚姻非权力之必需，却能改善与领主关系，并为王位提出主张。^^男女条件不同。男性须走传统求爱之路：在贵族社会扬名，与女方父母或监护人交好，再依俗求爱。若玩家急躁走捷径，将损害与其他领主关系。^^男性须与其他领主竞争佳人；女子心意难测，可能落花有意流水无情。北地浪漫未必圆满。若用非绅士手段，名声将受重创。^^男性玩家可参加宴会、比武，融入贵族社交；吟游诗人与歌手亦能提供求爱情报与最新八卦。^^女性亦可成婚，但须知社会极传统，冒险之路对女性尤为离经叛道，需寻思想开明之领主。^^女性无需繁复求爱仪式，且可能从婚姻获益更多。女冒险者可借婚姻速登权位，甚至将丈夫化作政治工具。
ip_politics|政治
ip_politics_text|北地诸国文化各异，却共享先于封建制的政治体系。日耳曼社会顶端为国王，由王室贵族议会选出；全国土地属王，王分封贵族与立功战士，死后收回。贵族代王治郡，掌行政、司法，征召民兵；再将地分予自由民，后者为乡野经济支柱，向领主纳租并服劳役，如筑堡、农忙时出工。^^贵族间亦行此附庸制，形成效忠层级。日益强大的修道院则为自治教会领地。^^凯尔特社会（盖尔、威尔士、皮克特）特色在于氏族：同祖同宗之大群体，为独立社会与法律实体。^^一国向他国开战时，政治团结与兵员素质、数量同等重要。团结之国，贵族合兵横扫敌境；分裂之国，领主不理元帅召集，战事不利便各奔东西。政治凝聚力亦影响平时：分裂阵营的领主不愿联合劫掠、巡逻或互援。^^若觉贵族内斗在敌前自毁，须知贵族忠诚终归于己与家族。若惧阵营将崩，或被君主冷落，便可借口弃誓投敌。玩家可利用此机，化怨敌为盟友。
ip_character_backgrounds|角色背景
ip_character_backgrounds_text|北地玩家可选多种社会出身，影响起始技能、装备及冒险生涯。^^传统上，战争与政治由男性贵族主导。男贵族玩家易入“老男孩俱乐部”；女性或平民则多障碍。男贵族开局可谓“简单”；女贵族或男平民稍难；女平民最具挑战。^^然女性亦有开局优势：披甲上阵即引注目，名声累积更快；且女攀婚梯易，战略联姻收益或超男性。^^谨记：出身不设限。无论贵族平民、男女、婚否，只要足够勇敢、幸运或足智多谋，皆可一统北地。
ip_military_campaigns|军事战争
ip_military_campaigns_text|北地王国开战时，军队有两种进攻选择：劫掠村庄、毁坏乡野，以打击敌声望与经济；或夺取城堡、城镇，占领领土。后者需长期血腥围攻，但结果更决定性。^^北地无常备军，只靠贵族、伙伴及其征召的封建民兵。有时贵族私掠敌境，但决定性行动多在大军集结时。国王任命之元帅战前召集大军，却不可久留于野，否则诸侯散去，反遭敌袭。^^故战争节奏如二人决斗：一方聚势击敌境，时间过短则无力，过长则未战先散。大国对小国如壮汉对弱敌，但政治凝聚力亦如耐力，可持久制胜。两军相遇则成大会战，数量与士气定胜负。^^王国情报不确：攻方需频侦察，辨要塞虚实；守方凭城堡、城镇警报，知敌动向，然数量常误。解围或救村之军或破敌，或反被歼。攻方深入须谨慎，激进元帅比谨慎者更冒险。^^玩家可加入阵营战役：随大军或先行侦察。若嫌元帅过怯或过勇，可串通诸君换帅，或自立为帅。^^多数战争为期有限：为荣誉，国王须短期坚持；若未大胜，便寻退路，以免第三方乘虚。北地君主深知今日盟友明日或为敌。
ip_siege_warfare|攻城战
ip_siege_warfare_text|《维京征服》的攻城战忠实还原黑暗时代。围城时，玩家可选两条路：削弱（饥饿、疾病……）或强攻。^^前者：封锁补给与援军，同时散播疾病、毁粮、挫士气。耗时较长，伤亡较小。^^后者：备齐攻城器或先削弱守军、焚屋毁墙后发动总攻。速决，但伤亡高。^^若城有港口，可编舰队自海路进攻。^^新系统复杂多变，最佳策略留待玩家自行探索。
ip_sea_travel|航海
