p_zendar|岑达
p_town_1|坎特瓦拉堡
p_town_2|奇潘汉姆
p_town_3|埃丁堡
p_town_4|里贝
p_town_5|图恩斯贝格
p_town_6|邓·布雷塔恩
p_town_7|都柏林
p_town_8|切斯特塞斯特尔
p_town_9|卡迪夫
p_town_10|约克
p_town_11|多勒斯塔德
p_town_12|伦敦威克
p_town_13|安格尔西岛
p_town_14|邓威克
p_town_15|斯昆
p_town_16|维坦·切斯特
p_town_17|博斯文纳赫
p_town_18|凯尔·凯尼赫
p_town_19|凯尔·里格蒙德
p_town_20|拉思·凯尔特尔
p_town_21|梅斯图
p_town_22|卡厄尔·梅瓜伊德
p_town_23|托姆顿
p_town_24|卡舍尔
p_town_25|艾利赫
p_town_26|布瑞赫尼奥格
p_town_27|贝班堡
p_town_28|克鲁阿汉
p_town_29|塔拉
p_castle_1|卡厄尔·利古阿里德
p_castle_2|马梅切斯特
p_castle_3|多恩切斯特
p_castle_4|米德尔斯堡
p_castle_5|丹尼斯伯恩
p_castle_6|到格弗林
p_castle_7|丁·贝爾
p_castle_8|威克斯特恩
p_castle_9|斯诺廷厄姆
p_castle_10|林肯郡
p_castle_11|汉姆顿
p_castle_12|赫雷潘顿
p_castle_13|奥克森福德
p_castle_14|科尔恩·切斯特
p_castle_15|格格内斯堡
p_castle_16|斯坦福德
p_castle_17|诺里奇
p_castle_18|黑格利斯敦
p_castle_19|伦德莱斯堡
p_castle_20|格兰特布里奇
p_castle_21|赫罗法·切斯特
p_castle_22|多恩瓦拉·切斯特
p_castle_23|西罗堡
p_castle_24|多切斯特
p_castle_25|威尔顿
p_castle_26|汉姆顿
p_castle_27|巴顿
p_castle_28|埃坎·切斯特
p_castle_29|托万·布利斯特拉
p_castle_30|丁·塔格尔
p_castle_31|卡图雷斯
p_castle_32|库伊尔·纳姆
p_castle_33|卡埃·卡拉达克
p_castle_34|戈班
p_castle_35|邓·杜伊姆
p_castle_36|邓·福瑟尔
p_castle_37|邓·塔鲁奥
p_castle_38|邓·阿韦特
p_castle_39|邓·昂莱格
p_castle_40|阿尔特·穆尔霍尔
p_castle_41|丁比克
p_castle_42|迪纳斯·布兰
p_castle_43|丁·阿瑟
p_castle_44|丁·厄尔特
p_castle_45|卡埃森尼翁特
p_castle_46|卡斯·斯威斯
p_castle_47|梅根·基尔·凯恩科德
p_castle_48|卡埃文特
p_castle_49|斯卡法
p_castle_50|韦比约格
p_castle_51|胡赫尔斯坦
p_castle_52|海德比尔
p_castle_53|斯基林格萨尔
p_castle_54|霍尔达兰
p_castle_55|阿格迪尔
p_castle_56|罗加兰
p_castle_57|卡埃雷吉德
p_castle_58|邓·贝特
p_castle_59|曼岛
p_castle_60|比尔纳罗伊
p_castle_61|奥克尼群岛
p_castle_62|维萨菲尤尔德拉
p_castle_63|肯内默尔
p_castle_64|弗莱斯·英格
p_castle_65|邓·塞布里格
p_castle_66|马格·拉思
p_castle_67|马格·科瓦
p_castle_68|德鲁姆·莫尔
p_castle_69|拉思·克洛赫-air
p_castle_70|费尔·费尔姆赫伊
p_castle_71|阿尔德马查
p_castle_72|马格·杜迈
p_castle_73|阿斯莫尔
p_castle_74|阿德·埃哈达
p_castle_75|阿德·布雷卡因
p_castle_76|拉戈尔克兰诺克
p_castle_77|科马因堡
p_castle_78|卢伊涅·康纳赫特
p_castle_79|菲亚赫拉赫·艾德内
p_castle_80|伯尔纳渡口
p_castle_81|格里安·艾尔布
p_castle_82|莱斯·莫尔
p_castle_83|基尔拉格·卢赫拉
p_castle_84|穆斯克里格部落
p_castle_85|邓·纳·马尔克
p_castle_86|凯尔达拉
p_castle_87|利亚姆温
p_castle_88|邓·博尔格
p_castle_89|罗斯·麦克·特罗因
p_castle_90|米德的拉因人
p_village_1|利古阿里德
p_village_2|马梅姆
p_village_3|多恩汉姆
p_village_4|米德尔斯哈姆
p_village_5|丹尼斯的哈姆
p_village_6|到格弗林
p_village_7|贝尔·汉姆
p_village_8|维克斯·汉姆
p_village_9|斯诺廷汉姆南部
p_village_10|林肯林汉姆
p_village_11|汉姆
p_village_12|赫潘汉姆
p_village_13|奥克纳姆
p_village_14|科尔恩汉姆
p_village_15|盖格内斯哈姆
p_village_16|斯坦汉姆
p_village_17|诺尔姆
p_village_18|海格利斯港
p_village_19|伦德莱汉姆
p_village_20|格兰特汉姆
p_village_21|霍夫哈姆
p_village_22|多恩沃拉姆
p_village_23|萨罗·汉姆
p_village_24|多切斯特
p_village_25|威尔·哈姆
p_village_26|汉姆 汉姆
p_village_27|巴顿山
p_village_28|埃斯坎·汉姆
p_village_29|特雷夫·托万
p_village_30|特雷夫·塔格尔
p_village_31|特雷夫·卡图雷斯
p_village_32|特雷夫·库伊尔
p_village_33|特雷夫·卡拉达格
p_village_34|特雷夫·戈布
p_village_35|巴尔·杜伊姆
p_village_36|巴尔·福伊瑟
p_village_37|巴尔·陶罗
p_village_38|巴尔·阿维尔特
p_village_39|巴尔·奥纳伊
p_village_40|巴尔·穆尔霍尔
p_village_41|特雷夫·比赫
p_village_42|特雷夫·布兰
p_village_43|特雷夫·阿瑟
p_village_44|特雷夫·厄斯
p_village_45|特雷夫·塞尼翁特
p_village_46|特雷夫·斯威斯
