qst_deliver_message|送信给{s13}
qst_deliver_message_text|{s9}请你带个口信给{s13}。你接任务时，{s13}正在{s4}。
qst_deliver_message_to_enemy_lord|送信给{s13}
qst_deliver_message_to_enemy_lord_text|送信给{s13}
qst_raise_troops|{s9}请你带个口信给{s15}的{s13}。你接任务时，{s13}在{s4}。
qst_raise_troops_text|培养{reg1}名{s14}
qst_escort_lady|{s9}请你筹集{reg1}名{s14}并带给他。
qst_deal_with_bandits_at_lords_village|护送{s13}去{s14}
qst_deal_with_bandits_at_lords_village_text|从山贼手里解救{s15}村
qst_collect_taxes|{s13}请你去对付那些躲在他{s15}村的山贼，然后回来向他报告。
qst_collect_taxes_text|到{s3}征税
qst_hunt_down_fugitive|{s9}请你到{s3}征税，并许你留下所收税款的五分之一。
qst_hunt_down_fugitive_text|抓捕{s4}
qst_kill_local_merchant|{s9}请你去追捕逃犯{s4}，据信他此刻在{s3}。
qst_kill_local_merchant_text|杀掉{s3}的本地商人
qst_bring_back_runaway_serfs|{s9}请你去{s3}暗杀一名本地商人。
qst_bring_back_runaway_serfs_text|追回逃跑的农奴
qst_follow_spy|{s9}请你把三伙逃跑的农奴带回{s2}。他说这些人正一起逃往{s3}。
qst_follow_spy_text|跟踪准备去碰头的间谍
qst_capture_enemy_hero|{s11}请你跟踪一名即将离开{s12}的间谍。途中务必小心，别被他发现，否则他会起疑折返。等他与同伙会面，你就埋伏擒住两人，一并押回{s11}。
qst_lend_companion|把你的同伴{s3}借给{s9}
qst_lend_companion_text|{s9}请你把同伴{s3}借给他一周
qst_collect_debt|讨要{s3}欠{s9}的债务
qst_collect_debt_text|{s9}请你去收回{s3}欠他的{reg4}银便士
qst_incriminate_loyal_commander|控告{s13}的忠诚指挥官{s16}
qst_meet_spy_in_enemy_town|在{s13}与间谍接头
qst_capture_prisoners|带来{reg1}名{s3}俘虏
qst_capture_prisoners_text|{s9}要你带来{reg1}名{s3}俘虏
qst_lend_surgeon|把你的外科医生{s3}借给{s1}
qst_lend_surgeon_text|把经验丰富的外科医生{s3}借给{s1}
qst_follow_army|跟随{s9}的部队
qst_report_to_army|向元帅{s13}汇报
qst_deliver_cattle_to_army|送{reg3}头牛给{s13}
qst_join_siege_with_army|把{reg3}头牛送到{s13}
qst_screen_army|加入围攻{s14}
qst_scout_waypoints|掩护{s13}的部队推进
qst_rescue_lord_by_replace|侦察{s13}、{s14}和{s15}
qst_deliver_message_to_prisoner_lord|从{s14}救出{s13}
qst_duel_for_lady|把信送到{s14}的{s13}手中
qst_duel_courtship_rival|向{s13}发起决斗
qst_duel_avenge_insult|把信送到{s14}的{s13}手中
qst_move_cattle_herd|向{s13}发起决斗
qst_move_cattle_herd_text|把牛群赶到{s13}
qst_escort_merchant_caravan|{s10}的镇长请你把牛群赶到{s13}。
qst_escort_merchant_caravan_text|护送商队前往{s8}
qst_deliver_wine|护送商队前往{s8}镇。
qst_deliver_wine_text|把{reg5}单位{s6}送到{s4}
qst_troublesome_bandits|{s3}的{s9}请你在7天内把{reg5}单位{s6}送到{s4}的酒馆。
qst_troublesome_bandits_text|清剿难缠的山贼
qst_kidnapped_girl|{s4}的{s9}请你清剿镇子附近那伙难缠的山贼。
qst_kidnapped_girl_text|从山贼手中赎回女孩
qst_persuade_lords_to_make_peace|{s4}的镇长给你{reg12}银便士，用来支付被山贼绑走的女孩的赎金。你要在{s3}附近与山贼会面并付赎金，然后把女孩带回{s4}。
qst_persuade_lords_to_make_peace_text|确保两位领主不反对和议
qst_deal_with_looters|{s4}的镇长答应给你{reg12}银便士，如果你能确保{s12}和{s13}不再威胁{s15}与{s14}的和议。为此，你必须说服他们，或在和约签订前将他们俘虏。
qst_deal_with_looters_text|清剿劫匪
qst_deal_with_night_bandits|{s4}的镇长请你清剿{s4}附近的几股劫匪，并带回任何缴获的货物。
qst_deliver_grain|清剿夜袭山贼
qst_deliver_grain_text|把小麦送到{s3}
qst_deliver_cattle|{s3}村的地方领袖请你带去{reg5}袋小麦。
qst_deliver_cattle_text|把{reg5}头牛送到{s3}
qst_train_peasants_against_bandits|训练{s13}的农民对抗山贼
qst_eliminate_bandits_infesting_village|从劫掠的山贼手中解救{s7}村
qst_eliminate_bandits_infesting_village_text|一位来自{s7}的村民恳求你从占据那里的山贼手中拯救他们的村庄
qst_visit_lady|拜访女士
qst_formal_marriage_proposal|正式求婚
qst_obtain_liege_blessing|正式求婚
qst_wed_betrothed|正式求婚
qst_wed_betrothed_female|正式求婚
qst_join_faction|与未婚妻成婚
qst_join_faction_text|与未婚妻成婚
qst_rebel_against_kingdom|向{s1}宣誓效忠
qst_consult_with_minister|找到{s1}并向他宣誓效忠
qst_consult_with_minister_text|帮助{s13}夺取{s14}的王位
qst_organize_feast|与大臣商议
qst_organize_feast_text|与大臣{s11}商议，他目前在{s12}
qst_resolve_dispute|筹办宴会
qst_resolve_dispute_text|把宴会所需物资带给你的配偶{s11}，她目前在{s12}
qst_offer_gift|解决争端
qst_offer_gift_text|解决{s11}与{s12}之间的争端
qst_denounce_lord|准备礼物
qst_denounce_lord_text|公开指责{s11}。
qst_intrigue_against_lord|密谋反对领主
qst_intrigue_against_lord_text|私下批评{s11}。
qst_track_down_bandits|追捕山贼
qst_track_down_bandits_text|{s4}的{s9}请你追捕{s6}，此人曾在城镇附近的道路上袭击旅人。
qst_track_down_provocateurs|追捕奸细
qst_track_down_provocateurs_text|{s4}的{s9}请你追踪一伙暴徒，他们受雇在{s5}与{s6}之间制造边境事端。
qst_retaliate_for_border_incident|报复边境事件
qst_retaliate_for_border_incident_text|{s4}的{s9}要求你在战场上击败{s7}的{s5}，以化解{s8}一触即发的战火。
qst_raid_caravan_to_start_war|袭击中立商队以挑起战争
qst_cause_provocation|向一国提供借口，使其进攻他国
qst_rescue_prisoner|营救或赎回俘虏
qst_destroy_bandit_lair|摧毁山贼老巢
qst_destroy_bandit_lair_text|{s4}的{s9}命你找出该地区的{s6}并将其摧毁。
qst_kennemer_jarl|复仇之路：与肯尼莫的雅尔交谈
qst_kennemer_jarl_missions|复仇之路：为雅尔效力
