qstr_{reg1}_lords_will_los|{reg1}位领主将失去你的踪迹。他们必须在下一座港口登岸，再前来寻你。
qstr_You_need_to_get_the_p|你必须取得此地领主的许可，才能在此募兵。
qstr_a_lone_boar|一头落单的野猪
qstr_a_herd_of_{reg6}_boa|一群{reg6}头野猪
qstr_a_herd_of_{reg6}_wil|一群{reg6}只野生动物
qstr_You_successfully_hun|你成功猎获了{reg6}头野猪。
qstr_You_have_lost_track_|你跟丢了那些动物。
qstr_Choose_a_Goal^^^^{s1|选择一个目标^^^^{s1}
qstr_Congratulations!^^^^|恭喜！^^^^{s1}
qstr_You_have_obtained_th|你获得了监狱钥匙。
qstr_You_killed_the_ghost|你杀死了幽灵。
qstr_You_are_so_tired_you|你累到几乎挪不动步子，只能造成一半伤害，也无法奔跑。
qstr_You_take_1_damage_fr|你因流血受到1点伤害。
qstr_You_have_received_{reg|你的头部遭到{reg5}点暴击，很快将失去视力！
qstr_You_have_received_{reg5|你的身体遭到{reg5}点暴击！
qstr_You_have_caused_{reg|你造成额外{reg5}点暴击伤害！
qstr_You_have_caused_{reg5|你从背后袭击敌人，造成{reg5}点暴击伤害！
qstr_You_have_received_{reg5}|你从背后遭到袭击，受到{reg5}点暴击伤害！
qstr_You_suffer_a_serious|你的脸部重伤，留下疤痕。（-1魅力）
qstr_You_suffer_a_serious_|你的肢体重伤，行动受阻。（-1敏捷）
qstr_You_suffer_a_serious_i|你受了重伤，身体受损。（-1力量）
qstr_Your_weapon_was_dama|你的武器受损了！
qstr_Your_weapon_broke!|你的武器断了！
qstr_Your_{s1}_was_damage|你的{s1}受损了！
qstr_{s33}_changes_weapon|{s33}更换了武器
qstr_You_call_your_horse.|你呼唤战马……
qstr_We_lost_a_quarter_of|我们很快就损失了四分之一的人手，士兵们心中充满恐惧。
qstr_Half_of_our_army_has|我们很快就损失了一半的人马，士兵们陷入恐慌！
qstr_The_enemy_lost_a_qua|敌人四分之一的兵力很快就被歼灭，敌军士兵心生恐惧！
qstr_Half_of_the_enemy_ar|敌军一半兵力顷刻覆灭，敌人陷入恐慌！
qstr_You_fall_and_your_tr|你倒下了，你的队伍陷入恐慌！
qstr_Our_side_lost_a_lead|我们失去了一位首领，士兵陷入慌乱！
qstr_The_enemy_lost_a_lea|敌人失去首领，他们乱作一团！
qstr__{reg3}|{reg3}
qstr_You_have_fallen.__Pr|你被击倒了。（按Tab键离开）
qstr_Scout_report:_We_ve_|侦察兵报告：我们抵达一处古遗迹——成排巨石——真正的阻碍是小溪对岸列阵的敌军。^^你回应：成排石头？那就让它们成为敌人的墓碑吧！
qstr_Scout_report:_A_bog_|侦察兵报告：前方是沼泽，务必小心。别离开道路！^^一名士兵拽住你袖子：前方林子里是什么？这里潜伏着邪恶。
qstr_While_exploring_an_a|探索废弃罗马堡垒时，侦察兵禀报：指挥官，不能久留，敌人已出现在山后。请下令！
qstr_Stretched_out_before|眼前尽是一段昔日宏伟城墙的残垣，敌人就在墙后布阵。^^身旁有人低声打趣：希望这墙这次能护住我们，别再像护罗马人那样失败。
