dlga_start:blocked_agent|这 人 看 起 来 很 忙 ， 也 许 我 该 继 续 上 路 … … 
dlga_blocked_agent:close_window|抱 歉 ， 我 不 是 有 意 打 扰 你 。 
dlga_blocked_agent:close_window.1|【离 开 】
dlga_dog_talk_2:close_window|跟 上 ！ 
dlga_dog_talk_2:close_window.1|去 吧 ， {s1}， 去 吧 ！ 
dlga_dog_talk_2:close_window.2|{s1}， 停 下 ！ 
dlga_dog_talk_2:dog_talk_pretrain|来 ， 我 有 些 东 西 给 你 … … 
dlga_dog_talk_2:close_window.3|我 会 叫 你 … … 
dlga_dog_talk_2:close_window.4|坏 狗 ！ 走 开 ！ 我 不 要 你 了 ！ 
dlga_dog_talk_2:close_window.5|松 口 ！ 
dlga_start:dog_talk_recruit|
dlga_dog_talk_recruit:dog_talk_1|来 ， 给 你 一 根 香 肠 ！ 
dlga_dog_talk_recruit:close_window|好 狗 ！ 
dlga_dog_talk_recruit:close_window.1|滚 开 ！ 
dlga_dog_talk_pretrain:dog_talk_train|来 ， 我 有 些 东 西 给 你 … … 
dlga_dog_talk_train:dog_talk_pretrain|你 看 起 来 不 太 健 康 。 来 ， 给 你 {s7}！ 
dlga_dog_talk_train:dog_talk_pretrain.1|来 ， 这 个 {s7}会 让 你 更 强 壮 ！ 
dlga_dog_talk_train:dog_talk_pretrain.2|我 想 让 你 结 实 些 。 这 些 {s7}对 你 有 好 处 ！ 
dlga_dog_talk_train:dog_talk_pretrain.3|你 太 瘦 了 ， 来 ， 吃 点 {s7}！ 
dlga_dog_talk_train:dog_talk_pretrain.4|我 的 朋 友 ， 你 能 跑 得 更 快 。 这 些 {s7}给 你 ！ 
dlga_dog_talk_train:dog_talk_pretrain.5|拿 这 些 {s7}磨 磨 牙 ！ 
dlga_dog_talk_train:dog_talk_1|我 没 有 食 物 给 你 了 。 
dlga_dog_talk_train:dog_talk_1.1|今 天 就 这 么 多 。 
dlga_start:close_window.1|你 去 看 看 你 的 母 亲 ， 给 她 留 点 东 西 ， 让 她 安 心 前 往 英 灵 殿 。 
dlga_start:close_window.2|我 在 等 一 个 带 女 孩 的 人 。 你 见 过 他 们 吗 ？ 
dlga_start:close_window.3|啊 ， 你 就 是 {playername}。 索 里 克 说 你 会 来 。 上 船 吧 ， 我 和 我 的 人 让 你 见 识 这 船 有 多 轻 快 。 
dlga_start:port_chief_travel|你 好 ！ 你 是 要 去 别 的 城 镇 吗 ？ 
dlga_start:close_window.4|请 等 所 有 人 都 上 船 。 
dlga_port_chief2:port_chief3|你 需 要 什 么 ？ 
dlga_port_chief3:port_chief_fleet1|你 好 。 我 来 加 入 “ 牛 颈 ” 斯 温 和 哈 拉 尔 · 哈 拉 尔 松 即 将 前 往 英 格 兰 的 舰 队 。 
dlga_port_chief3:port_chief_bodoletter1|有 个 叫 阿 特 利 · 艾 里 克 森 的 人 不 久 前 离 港 了 。 你 知 道 他 去 了 哪 儿 吗 ？ 
dlga_port_chief3:port_chief_pieles|我 已 经 把 毛 皮 交 给 霍 格 尼 ， 现 在 轮 到 你 了 。 阿 特 利 · 艾 里 克 森 在 哪 儿 ？ 
dlga_port_chief3:port_chief_catach|我 在 格 伦 达 洛 修 道 院 拿 到 了 《 圣 科 伦 巴 护 战 书 》 。 
dlga_port_chief3:port_chief_catach32|可 惜 格 伦 达 洛 修 道 院 太 远 。 你 能 改 收 钱 吗 ？ 
dlga_port_chief3:port_chief_svenlair|你 知 道 我 想 要 什 么 。 “ 牛 颈 ” 斯 温 的 藏 身 处 在 哪 里 ？ 
dlga_port_chief3:port_chief_buy_ship|我 想 买 条 船 。 
dlga_port_chief_buy_ship:close_window|跟 我 来 ！ 
dlga_port_chief3:port_chief_info_main|我 有 些 关 于 船 和 航 海 的 问 题 。 
dlga_port_chief_info_main:port_chief_info_main_1|你 想 知 道 哪 方 面 ？ 
dlga_port_chief_info_main_1:port_chief_info_a_1|人 们 为 什 么 出 海 ？ 
