str_yes|是 。 
str_no|不 。 
str_noone|无 人 
str_s50_and_s51|{s50}和 {s51}
str_s52_and_s51|{s52}和 {s51}
str_s5_s_party|{s5}的 部 队 
str_given_by_s1_at_s2|{s2}的 {s1}给 予 
str_given_by_s1_in_wilderness|野 外 的 {s1}给 予 
str_s7_raiders|{s7}掠 夺 者 
str_bandits_eliminated_by_another|难 对 付 的 山 贼 被 别 的 队 伍 消 灭 了 。 
str_msg_battle_won|战 斗 胜 利 ！ 你 的 敌 人 被 屠 杀 （ 按 TAB 键 离 开 ） 
str_tutorial_map1|你 现 在 处 于 玛 模 式 中 。 在 玛 上 按 左 键 可 以 旅 行 /进 入 镇 子 /或 与 其 他 队 伍 遭 遇 。 如 果 你 的 队 伍 停 止 不 动 ， 时 间 不 会 流 逝 。 如 果 你 想 在 某 处 等 待 ， 按 住 空 格 键 一 直 不 动 （ 再 按 住 Ctrl 键 可 以 使 时 间 加 速 流 逝 ） 。 ^这 是 存 档 的 好 时 机 ！ 按 ESC 键 然 后 选 择 保 存 ， 也 可 以 按 F12 来 快 速 存 档 ^^欢 迎 来 到 维 京 征 服 世 界 ！ 
str_tutorial_map11|现 在 你 拥 有 一 支 强 大 的 军 队 ， 返 回 雅 尔 处 获 得 下 一 步 的 指 示 。 
str_randomize|随 机 
str_charge|填 充 
str_color|颜 色 
str_flip_horizontal|水 平 翻 转 
str_flip_vertical|垂 直 翻 转 
str_hold_fire|停 止 射 击 
str_blunt_hold_fire|钝 器 /停 止 射 击 
str_tutorial_ammo_refilled|填 满 弹 药 。 
str_tutorial_failed|你 这 次 被 打 败 了 ， 但 别 担 心 。 仔 细 跟 着 提 示 做 ， 下 次 就 能 做 得 更 好 。 按 Tab 键 回 到 菜 单 ， 可 以 重 试 本 教 程 。 
str_tutorialmq_1_msg_1|在 本 教 程 中 ， 你 将 学 习 移 动 、 互 动 和 战 斗 的 基 础 。 ^^在 维 京 征 服 里 ， 用 鼠 标 控 制 视 角 ， 用 键 盘 的 W、 A、 S、 D 键 移 动 。 你 的 第 一 个 任 务 是 … … ^^目 标 ： 前 往 船 中 央 。 
str_tutorialmq_1_msg_2|做 得 好 。 接 下 来 学 习 如 何 与 物 品 和 人 物 互 动 。 你 附 近 有 个 叫 博 多 的 男 人 。 想 知 道 某 人 是 谁 ， 就 走 到 他 面 前 ， 直 到 名 字 弹 出 。 找 到 博 多 后 ， 按 F 键 与 他 交 谈 。 ^^用 F 键 可 与 人 物 和 场 景 物 品 互 动 ， 能 开 门 、 开 箱 、 拾 取 物 品 等 。 ^^目 标 ： 与 博 多 交 谈 。 
str_tutorialmq_1_msg_3|很 好 。 接 下 来 学 习 武 器 攻 击 。 ^^向 前 滚 动 鼠 标 滚 轮 ， 或 按 小 键 盘 前 四 个 数 字 键 ， 可 切 换 武 器 栏 中 的 武 器 。 ^^用 鼠 标 左 键 攻 击 。 按 住 左 键 准 备 攻 击 ， 松 开 即 可 挥 击 。 按 住 时 间 越 长 ， 攻 击 越 强 。 ^^向 下 滚 动 滚 轮 或 用 数 字 键 可 取 出 或 收 起 盾 牌 。 ^^目 标 ： 与 老 兵 交 谈 ， 练 习 战 斗 。 
str_tutorialmq_1_msg_4|干 得 漂 亮 ！ 你 已 掌 握 维 京 征 服 的 基 本 概 念 。 现 在 可 以 探 索 、 与 NPC 交 谈 、 在 船 上 战 斗 ， 或 准 备 好 后 与 船 长 交 谈 ， 继 续 冒 险 。 
str_finished|（ 完 成 ） 
str_delivered_damage|造 成 {reg60}点 伤 害 。 
str_archery_target_hit|距 离 ： {reg61}码 。 得 分 ： {reg60}
str_use_baggage_for_inventory|战 斗 中 用 你 起 始 位 置 的 行 李 打 开 物 品 栏 。 
str_cant_use_inventory_now|现 在 无 法 打 开 物 品 栏 。 
str_cant_use_inventory_arena|竞 技 场 中 无 法 打 开 物 品 栏 。 
str_cant_use_inventory_disguised|伪 装 时 无 法 打 开 物 品 栏 。 
str_cant_use_inventory_tutorial|训 练 营 中 无 法 打 开 物 品 栏 。 
str_1_denar|1 银 便 士 
str_reg1_denars|{reg1}银 便 士 
str_january_reg1_reg2|{reg2}年 1 月 {reg1}日 
str_february_reg1_reg2|{reg2}年 2 月 {reg1}日 
str_march_reg1_reg2|{reg2}年 3 月 {reg1}日 
str_april_reg1_reg2|{reg2}年 4 月 {reg1}日 
str_may_reg1_reg2|{reg2}年 5 月 {reg1}日 
str_june_reg1_reg2|{reg2}年 6 月 {reg1}日 
str_july_reg1_reg2|{reg2}年 7 月 {reg1}日 
str_august_reg1_reg2|{reg2}年 8 月 {reg1}日 
str_september_reg1_reg2|{reg2}年 9 月 {reg1}日 
str_october_reg1_reg2|{reg2}年 10 月 {reg1}日 
str_november_reg1_reg2|{reg2}年 11 月 {reg1}日 
str_december_reg1_reg2|{reg2}年 12 月 {reg1}日 
str_town_nighttime|夜 深 了 ， 街 上 已 不 见 良 民 。 
str_door_locked|门 锁 着 。 
str_castle_is_abondened|堡 垒 似 乎 无 人 驻 守 。 
str_town_is_abondened|镇 子 没 有 守 军 。 
str_place_is_occupied_by_player|此 地 由 你 的 部 队 驻 守 。 
str_place_is_occupied_by_enemy|此 地 被 敌 军 占 据 。 
str_place_is_occupied_by_friendly|此 地 由 友 军 驻 守 。 
str_do_you_want_to_retreat|你 确 定 要 撤 退 吗 ？ 
str_give_up_fight|放 弃 战 斗 ？ 
str_do_you_wish_to_leave_tutorial|要 离 开 教 程 吗 ？ 
str_do_you_wish_to_surrender|要 投 降 吗 ？ 
str_can_not_retreat|无 法 撤 退 ， 附 近 有 敌 人 ！ 
str_s1_joined_battle_enemy|{s1}会 加 入 敌 方 参 战 。 
str_s1_joined_battle_friend|{s1}会 加 入 我 方 参 战 。 
str_entrance_to_town_forbidden|城 镇 守 卫 正 在 搜 寻 入 侵 者 ， 你 恐 怕 无 法 不 遭 阻 拦 就 穿 过 城 门 。 
str_sneaking_to_town_impossible|城 镇 守 卫 已 警 觉 ， 无 论 你 如 何 伪 装 ， 都 无 法 偷 偷 溜 过 那 道 门 。 
str_battle_won|你 赢 得 了 这 场 战 斗 ！ 
str_battle_lost|你 输 掉 了 这 场 战 斗 ！ 
str_attack_walls_success|一 番 血 战 之 后 ， 你 勇 敢 的 士 兵 从 敌 人 手 中 夺 下 了 城 墙 。 
str_attack_walls_failure|你 的 士 兵 在 冲 锋 城 墙 时 成 批 倒 下 ， 幸 存 者 寥 寥 ， 很 快 溃 散 逃 窜 ， 再 无 踪 影 。 
str_attack_walls_continue|血 战 爆 发 ， 双 方 同 样 英 勇 。 尽 管 你 的 部 队 奋 力 作 战 ， 此 地 仍 落 入 敌 手 。 
str_order_attack_success|你 的 士 兵 英 勇 作 战 ， 击 退 了 敌 人 。 
str_order_attack_failure|你 绝 望 地 看 着 敌 人 砍 倒 你 的 士 兵 ， 随 后 轻 松 驱 散 残 存 的 幸 存 者 。 
str_order_attack_continue|尽 管 战 斗 持 续 良 久 ， 你 的 部 队 仍 未 能 取 得 决 定 性 胜 利 。 
str_join_order_attack_success|你 的 士 兵 与 盟 军 并 肩 作 战 ， 共 享 荣 耀 ， 将 敌 人 击 败 。 
str_join_order_attack_failure|你 绝 望 地 看 着 敌 人 砍 倒 你 的 士 兵 ， 随 后 轻 松 驱 散 残 存 的 幸 存 者 。 
str_join_order_attack_continue|你 绝 望 地 看 着 敌 人 砍 倒 你 的 士 兵 ， 随 后 轻 松 驱 散 残 存 的 幸 存 者 。 
str_siege_defender_order_attack_success|尽 管 战 斗 持 续 良 久 ， 你 的 部 队 与 盟 军 仍 未 能 对 敌 人 取 得 决 定 性 胜 利 。 
str_siege_defender_order_attack_failure|守 军 以 技 艺 与 勇 气 守 住 城 墙 ， 粉 碎 敌 军 攻 势 ， 将 看 似 必 败 的 局 面 彻 底 扭 转 为 大 胜 。 
str_siege_defender_order_attack_continue|攻 势 迅 速 沦 为 屠 场 。 英 勇 无 济 于 事 ， 寡 不 敌 众 的 守 军 无 法 守 住 城 墙 ， 敌 人 将 最 后 一 名 守 卫 也 斩 于 剑 下 。 
str_hero_taken_prisoner|对 城 墙 的 反 复 血 战 未 能 取 得 寸 进 ， 但 敌 军 数 量 仍 多 ， 守 军 无 法 宣 告 真 正 胜 利 。 围 城 继 续 。 
str_hero_freed|{s3}的 {s1}被 {s2}成 功 解 救 。 
str_center_captured|{s2}从 {s3}那 里 夺 取 了 {s1}。 
str_troop_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_troop_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_faction_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 {s2}
str_faction_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 {s2}
str_party_gained_morale|部 队 的 士 气 加 {reg1}。 
str_party_lost_morale|部 队 的 士 气 减 {reg1}。 
str_other_party_gained_morale|{s1}获 得 {reg1}士 气 。 
str_other_party_lost_morale|{s1}失 去 {reg1}士 气 。 
str_qst_follow_spy_noticed_you|那 个 间 谍 觉 察 到 你 了 ， 他 准 备 开 溜 了 ！ 
str_duplicate|父 亲 
str_s3s_s2|{s3}的 {s2}
str_s5_is_s51|{s5}是 {s51}。 
str_s5_is_the_ruler_of_s51|{s5}是 {s51}的 领 主 。 
str_s5_is_a_nobleman_of_s6|{s5}是 {s6}的 贵 族 。 
str_relation_mnus_100|势 同 水 火 的 
str_relation_mnus_90|势 同 水 火 的 
str_relation_mnus_80|势 同 水 火 的 
str_relation_mnus_70|充 满 敌 意 的 
str_relation_mnus_60|充 满 敌 意 的 
str_relation_mnus_50|狠 狠 地 盯 着 你 的 
str_relation_mnus_40|非 常 讨 厌 你 的 
str_relation_mnus_30|开 始 厌 恶 你 的 
str_relation_mnus_20|警 惕 地 看 着 你 的 
str_relation_mnus_10|意 味 深 长 地 看 着 你 的 
str_relation_plus_0|面 无 表 情 的 看 着 你 的 
str_relation_plus_10|开 始 接 受 你 的 
str_relation_plus_20|友 善 地 看 着 你 的 
str_relation_plus_30|亲 切 地 看 着 你 的 
str_relation_plus_40|热 切 地 望 着 你 的 
str_relation_plus_50|对 你 交 口 称 赞 的 
str_relation_plus_60|非 常 支 持 你 
str_relation_plus_70|非 常 尊 敬 你 
str_relation_plus_80|为 你 欢 呼 
str_relation_plus_90|对 你 忠 心 耿 耿 
str_relation_mnus_100_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_90_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_80_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_70_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_60_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_50_ns|{s60}狠 狠 地 盯 着 你 。 
str_relation_mnus_40_ns|{s60}非 常 讨 厌 你 。 
str_relation_mnus_30_ns|{s60}开 始 厌 恶 你 。 
str_relation_mnus_20_ns|{s60}警 惕 地 看 着 你 。 
str_relation_mnus_10_ns|{s60}意 味 深 长 地 看 着 你 。 
str_relation_plus_0_ns|{s60}面 无 表 情 地 看 着 你 。 
str_relation_plus_10_ns|{s60}开 始 接 受 你 。 
str_relation_plus_20_ns|{s60}友 善 地 看 着 你 。 
str_relation_plus_30_ns|{s60}亲 切 地 看 着 你 。 
str_relation_plus_40_ns|{s60}热 切 地 望 着 你 。 
str_relation_plus_50_ns|{s60}友 好 地 望 着 你 。 
str_relation_plus_60_ns|{s60}非 常 支 持 你 。 
str_relation_plus_70_ns|{s60}非 常 尊 敬 你 。 
str_relation_plus_80_ns|{s60}为 你 欢 呼 。 
str_relation_plus_90_ns|{s60}对 你 忠 心 耿 耿 。 
str_relation_reg1|关 系 ： {reg1}
str_center_relation_mnus_100|当 地 居 民 与 你 势 同 水 火 
str_center_relation_mnus_90|当 地 居 民 对 你 恨 之 入 骨 
str_center_relation_mnus_80|当 地 居 民 对 你 怒 视 
str_center_relation_mnus_70|^当 地 居 民 对 你 恨 之 入 骨 
str_center_relation_mnus_60|^当 地 居 民 对 你 满 怀 憎 恨 
str_center_relation_mnus_50|^当 地 居 民 对 你 极 度 仇 视 
str_center_relation_mnus_40|^当 地 居 民 对 你 十 分 敌 视 
str_center_relation_mnus_30|^当 地 居 民 对 你 心 怀 敌 意 
str_center_relation_mnus_20|^当 地 居 民 与 你 为 敌 
str_center_relation_mnus_10|^当 地 居 民 反 对 你 
str_center_relation_plus_0|^当 地 居 民 对 你 漠 不 关 心 
str_center_relation_plus_10|^当 地 居 民 开 始 接 纳 你 
str_center_relation_plus_20|^当 地 居 民 愿 意 配 合 你 
str_center_relation_plus_30|^当 地 居 民 对 你 颇 为 支 持 
str_center_relation_plus_40|^当 地 居 民 支 持 你 
str_center_relation_plus_50|^当 地 居 民 对 你 赞 誉 有 加 
str_center_relation_plus_60|^当 地 居 民 对 你 忠 心 耿 耿 
str_center_relation_plus_70|^当 地 居 民 对 你 无 比 忠 诚 
str_center_relation_plus_80|^当 地 居 民 对 你 虔 诚 拥 戴 
str_center_relation_plus_90|^当 地 居 民 誓 死 效 忠 于 你 
str_town_prosperity_0|^{s60}镇 的 贫 困 已 令 人 无 法 忍 受 
str_town_prosperity_10|^{s60}镇 几 乎 因 破 败 而 被 遗 弃 
str_town_prosperity_20|^{s60}镇 显 得 凄 凉 而 荒 芜 
str_town_prosperity_30|^{s60}镇 看 起 来 贫 穷 而 荒 废 。 
str_town_prosperity_40|^{s60}镇 似 乎 正 苦 苦 挣 扎 。 
str_town_prosperity_50|^{s60}镇 似 乎 平 平 无 奇 。 
str_town_prosperity_60|^{s60}镇 似 乎 欣 欣 向 荣 。 
str_town_prosperity_70|^{s60}镇 繁 荣 兴 旺 ， 人 来 人 往 。 
str_town_prosperity_80|^{s60}镇 看 起 来 富 裕 而 整 洁 。 
str_town_prosperity_90|^{s60}镇 富 丽 堂 皇 ， 富 户 云 集 。 
str_town_prosperity_100|^{s60}镇 金 碧 辉 煌 ， 公 然 炫 耀 其 巨 富 。 
str_fort_prosperity_0|^{s60}堡 的 贫 穷 令 人 难 以 忍 受 。 
str_fort_prosperity_10|^{s60}堡 几 乎 被 遗 弃 ， 只 剩 破 败 与 污 秽 。 
str_fort_prosperity_20|^{s60}堡 看 起 来 凄 凉 而 荒 芜 。 
str_fort_prosperity_30|^{s60}堡 看 起 来 贫 穷 而 荒 废 。 
str_fort_prosperity_40|^{s60}堡 似 乎 正 苦 苦 挣 扎 。 
str_fort_prosperity_50|^{s60}堡 似 乎 平 平 无 奇 。 
str_fort_prosperity_60|^{s60}堡 似 乎 欣 欣 向 荣 。 
str_fort_prosperity_70|^{s60}堡 繁 荣 兴 旺 ， 人 来 人 往 。 
str_fort_prosperity_80|^{s60}堡 看 起 来 富 裕 而 整 洁 。 
str_fort_prosperity_90|^{s60}堡 富 丽 堂 皇 ， 富 户 云 集 。 
str_fort_prosperity_100|^{s60}堡 金 碧 辉 煌 ， 公 然 炫 耀 其 巨 富 。 
str_village_prosperity_0|^{s60}村 的 贫 穷 令 人 难 以 忍 受 。 
str_village_prosperity_10|^{s60}村 看 起 来 相 当 贫 穷 且 凄 凉 。 
str_village_prosperity_20|^{s60}村 看 起 来 非 常 贫 穷 且 荒 芜 。 
str_village_prosperity_30|^{s60}村 看 起 来 很 贫 穷 且 被 忽 视 。 
str_village_prosperity_40|^{s60}村 看 起 来 有 点 贫 穷 且 在 奋 斗 中 。 
str_village_prosperity_50|^{s60}村 似 乎 很 不 起 眼 。 
str_village_prosperity_60|^{s60}村 似 乎 很 繁 荣 。 
str_village_prosperity_70|^{s60}村 似 乎 非 常 有 活 力 。 
str_village_prosperity_80|^{s60}村 看 起 来 很 富 有 而 且 很 气 派 。 
str_village_prosperity_90|^{s60}村 看 起 来 非 常 富 有 而 且 物 质 丰 富 。 
str_village_prosperity_100|^{s60}村 被 大 片 肥 沃 的 耕 地 包 围 ， 看 起 来 极 为 富 有 。 
str_town_alt_prosperity_0|市 场 里 寥 寥 几 件 货 物 ， 对 营 养 不 良 的 平 民 和 他 那 瘦 弱 的 牲 口 来 说 贵 得 离 谱 。 破 屋 之 间 ， 衣 衫 褴 褛 的 小 孩 们 用 树 枝 和 石 子 玩 耍 。 
str_town_alt_prosperity_20|市 场 里 传 来 对 高 价 的 争 吵 ， 商 贩 的 货 物 已 所 剩 无 几 。 街 上 ， 孩 子 们 向 每 个 过 路 人 讨 一 小 块 面 包 或 任 何 值 钱 的 东 西 。 
str_town_alt_prosperity_40|市 场 里 的 货 物 质 量 不 错 ， 偶 尔 有 商 人 带 来 奢 侈 品 ， 卖 给 少 数 富 裕 的 镇 民 。 有 些 房 子 需 要 修 缮 ， 另 一 些 则 状 况 良 好 。 
str_town_alt_prosperity_60|市 场 人 声 鼎 沸 ， 远 近 商 人 往 来 交 易 ， 一 些 移 民 留 下 碰 运 气 。 
str_town_alt_prosperity_80|全 镇 屋 顶 的 茅 草 和 木 瓦 都 维 护 得 当 ， 人 们 衣 着 体 面 。 每 天 都 有 成 群 的 人 涌 入 这 座 繁 荣 的 贸 易 中 心 寻 找 工 作 与 财 富 。 
str_village_alt_prosperity_0|壮 劳 力 稀 少 ， 田 里 杂 草 丛 生 。 许 多 人 逃 离 了 定 居 点 ， 耕 畜 被 吃 掉 或 死 在 镇 外 ， 引 来 野 兽 。 
