qst_deliver_message|送 信 给 {s13}
qst_deliver_message_text|{s9}请 你 带 个 口 信 给 {s13}。 你 接 任 务 时 ， {s13}正 在 {s4}。 
qst_deliver_message_to_enemy_lord|送 信 给 {s13}
qst_deliver_message_to_enemy_lord_text|{s9}请 你 带 个 口 信 给 {s15}的 {s13}。 你 接 任 务 时 ， {s13}在 {s4}。 
qst_raise_troops|培 养 {reg1}名 {s14}
qst_raise_troops_text|{s9}请 你 筹 集 {reg1}名 {s14}并 带 给 他 。 
qst_escort_lady|护 送 {s13}去 {s14}
qst_deal_with_bandits_at_lords_village|从 山 贼 手 里 解 救 {s15}村 
qst_deal_with_bandits_at_lords_village_text|{s13}请 你 去 对 付 那 些 躲 在 他 {s15}村 的 山 贼 ， 然 后 回 来 向 他 报 告 。 
qst_collect_taxes|到 {s3}征 税 
qst_collect_taxes_text|{s9}请 你 到 {s3}征 税 ， 并 许 你 留 下 所 收 税 款 的 五 分 之 一 。 
qst_hunt_down_fugitive|抓 捕 {s4}
qst_hunt_down_fugitive_text|{s9}请 你 去 追 捕 逃 犯 {s4}， 据 信 他 此 刻 在 {s3}。 
qst_kill_local_merchant|杀 掉 {s3}的 本 地 商 人 
qst_kill_local_merchant_text|{s9}请 你 去 {s3}暗 杀 一 名 本 地 商 人 。 
qst_bring_back_runaway_serfs|追 回 逃 跑 的 农 奴 
qst_bring_back_runaway_serfs_text|{s9}请 你 把 三 伙 逃 跑 的 农 奴 带 回 {s2}。 他 说 这 些 人 正 一 起 逃 往 {s3}。 
qst_follow_spy|跟 踪 准 备 去 碰 头 的 间 谍 
qst_follow_spy_text|{s11}请 你 跟 踪 一 名 即 将 离 开 {s12}的 间 谍 。 途 中 务 必 小 心 ， 别 被 他 发 现 ， 否 则 他 会 起 疑 折 返 。 等 他 与 同 伙 会 面 ， 你 就 埋 伏 擒 住 两 人 ， 一 并 押 回 {s11}。 
qst_capture_enemy_hero|从 {s13}俘 虏 一 名 领 主 
qst_lend_companion|把 你 的 同 伴 {s3}借 给 {s9}
qst_lend_companion_text|{s9}请 你 把 同 伴 {s3}借 给 他 一 周 
qst_collect_debt|讨 要 {s3}欠 {s9}的 债 务 
qst_collect_debt_text|{s9}请 你 去 收 回 {s3}欠 他 的 {reg4}银 便 士 
qst_incriminate_loyal_commander|控 告 {s13}的 忠 诚 指 挥 官 {s16}
qst_meet_spy_in_enemy_town|在 {s13}与 间 谍 接 头 
qst_capture_prisoners|带 来 {reg1}名 {s3}俘 虏 
qst_capture_prisoners_text|{s9}要 你 带 来 {reg1}名 {s3}俘 虏 
qst_lend_surgeon|把 你 的 外 科 医 生 {s3}借 给 {s1}
qst_lend_surgeon_text|把 经 验 丰 富 的 外 科 医 生 {s3}借 给 {s1}
qst_follow_army|跟 随 {s9}的 部 队 
qst_report_to_army|向 元 帅 {s13}汇 报 
qst_deliver_cattle_to_army|送 {reg3}头 牛 给 {s13}
qst_join_siege_with_army|加 入 围 攻 {s14}
qst_screen_army|掩 护 {s13}的 部 队 推 进 
qst_scout_waypoints|侦 察 {s13}、 {s14}和 {s15}
qst_rescue_lord_by_replace|从 {s14}救 出 {s13}
qst_deliver_message_to_prisoner_lord|把 信 送 到 {s14}的 {s13}手 中 
qst_duel_for_lady|向 {s13}发 起 决 斗 
qst_duel_courtship_rival|向 {s13}发 起 决 斗 （ 可 选 ） 
qst_duel_avenge_insult|向 {s13}发 起 决 斗 
qst_move_cattle_herd|把 牛 群 赶 到 {s13}
qst_move_cattle_herd_text|{s10}的 镇 长 请 你 把 牛 群 赶 到 {s13}。 
qst_escort_merchant_caravan|护 送 商 队 前 往 {s8}
qst_escort_merchant_caravan_text|护 送 商 队 前 往 {s8}镇 。 
qst_deliver_wine|把 {reg5}单 位 {s6}送 到 {s4}
qst_deliver_wine_text|{s3}的 {s9}请 你 在 7 天 内 把 {reg5}单 位 {s6}送 到 {s4}的 酒 馆 。 
qst_troublesome_bandits|清 剿 难 缠 的 山 贼 
qst_troublesome_bandits_text|{s4}的 {s9}请 你 清 剿 镇 子 附 近 那 伙 难 缠 的 山 贼 。 
qst_kidnapped_girl|从 山 贼 手 中 赎 回 女 孩 
qst_kidnapped_girl_text|{s4}的 镇 长 给 你 {reg12}银 便 士 ， 用 来 支 付 被 山 贼 绑 走 的 女 孩 的 赎 金 。 你 要 在 {s3}附 近 与 山 贼 会 面 并 付 赎 金 ， 然 后 把 女 孩 带 回 {s4}。 
qst_persuade_lords_to_make_peace|确 保 两 位 领 主 不 反 对 议 和 
qst_persuade_lords_to_make_peace_text|{s4}的 镇 长 答 应 给 你 {reg12}银 便 士 ， 如 果 你 能 确 保 {s12}和 {s13}不 再 威 胁 {s15}与 {s14}的 和 议 。 为 此 ， 你 必 须 说 服 他 们 ， 或 在 和 约 签 订 前 将 他 们 俘 虏 。 
qst_deal_with_looters|清 剿 劫 匪 
qst_deal_with_looters_text|{s4}的 镇 长 请 你 清 剿 {s4}附 近 的 几 股 劫 匪 ， 并 带 回 任 何 缴 获 的 货 物 。 
qst_deal_with_night_bandits|清 剿 夜 袭 山 贼 
qst_deliver_grain|把 小 麦 送 到 {s3}
qst_deliver_grain_text|{s3}村 的 地 方 领 袖 请 你 带 去 {reg5}袋 小 麦 。 
qst_deliver_cattle|把 {reg5}头 牛 送 到 {s3}
qst_deliver_cattle_text|{s3}村 的 地 方 领 袖 请 你 带 去 {reg5}头 牛 。 
qst_train_peasants_against_bandits|训 练 {s13}的 农 民 对 抗 山 贼 
qst_eliminate_bandits_infesting_village|从 劫 掠 的 山 贼 手 中 解 救 {s7}村 
qst_eliminate_bandits_infesting_village_text|一 位 来 自 {s7}的 村 民 恳 求 你 从 占 据 那 里 的 山 贼 手 中 拯 救 他 们 的 村 庄 。 
qst_visit_lady|拜 访 女 士 
qst_formal_marriage_proposal|正 式 求 婚 
qst_obtain_liege_blessing|正 式 求 婚 
qst_wed_betrothed|与 未 婚 妻 成 婚 
qst_wed_betrothed_female|与 未 婚 妻 成 婚 
qst_join_faction|向 {s1}宣 誓 效 忠 
