qstr_Breaking_camp...|拔 营 起 程 … … 
qstr_The_poem_the_bard_ha|吟 游 诗 人 为 {s33}写 的 诗 似 乎 没 起 什 么 作 用 。 
qstr_Poem_for_a_lady|献 给 女 士 的 诗 
qstr_{s33}_seemed_to_like|{s33}似 乎 很 喜 欢 吟 游 诗 人 为 她 写 的 诗 。 
qstr_The_bard_s_poem_abou|吟 游 诗 人 歌 颂 你 的 诗 篇 正 在 各 地 流 传 。 
qstr_Fame_spreads|名 声 远 播 
qstr_People_say_that_{s31|人 们 说 {s31}在 {s32}的 领 地 里 挖 到 了 埋 藏 的 维 京 宝 藏 ， 诸 位 领 主 为 争 夺 所 有 权 大 打 出 手 。 
qstr_People_say_that_{s31}|人 们 说 {s31}或 其 手 下 从 {s32}的 牧 场 偷 牛 ， 令 {s32}勃 然 大 怒 。 
qstr_People_say_that_{s31}_|人 们 说 {s31}给 {s32}的 一 名 侍 卫 递 了 一 杯 毒 蜜 酒 ， {s32}怒 不 可 遏 。 
qstr_People_say_that_{s31}_t|人 们 说 {s31}试 图 贿 赂 {s32}的 侍 卫 混 入 宅 邸 ， 却 被 {s32}当 场 识 破 。 
qstr_People_say_that_a_ru|人 们 说 ， 一 位 无 名 旅 行 者 散 布 的 谣 言 未 能 挑 拨 {s31}与 {s32}的 关 系 。 
qstr_{s33}|{s33}
qstr_Rumors|传 言 
qstr_{playername}_is_beli|人 们 相 信 ， 最 近 关 于 {s32}与 {s31}的 恶 言 谣 言 ， 幕 后 推 手 正 是 {playername}。 
qstr_A_recent_rumor_alleg|最 新 传 闻 称 ， {s32}在 战 场 上 总 躲 在 侍 卫 身 后 。 
qstr_A_recent_rumor_allege|最 新 传 闻 称 ， {s32}在 蜜 酒 厅 里 行 某 种 邪 异 仪 式 。 
qstr_A_recent_rumor_alleges|最 新 传 闻 称 ， {s32}对 新 来 的 母 马 宠 爱 有 加 ， 你 懂 的 。 
qstr_A_recent_rumor_alleges_|最 新 传 闻 称 ， {s32}宁 举 角 杯 ， 不 握 长 剑 。 
qstr_People_say_that_a_rum|人 们 说 ， 一 位 无 名 旅 行 者 关 于 {s32}的 谣 言 并 未 损 害 他 的 名 声 。 
qstr_{playername}_is_belie|人 们 相 信 ， 最 近 关 于 {s32}失 德 之 举 的 谣 言 ， 幕 后 正 是 {playername}。 
qstr_A_recent_rumor_sprea|一 位 无 名 旅 行 者 散 播 的 传 闻 称 ， {s32}正 在 密 谋 反 对 {s31}。 
qstr_People_say_that_a_rumo|人 们 说 ， 无 名 旅 行 者 散 布 “ {s32}是 不 忠 封 臣 ” 的 谣 言 ， 却 未 能 激 起 {s32}与 {s31}的 仇 怨 。 
qstr_{playername}_is_believ|众 人 相 信 ， {playername}是 近 来 关 于 {s32}不 忠 谣 言 的 幕 后 推 手 。 
qstr_It_seems_that_{s31}_|看 来 ， {s31}觉 得 最 近 关 于 {s32}不 忠 的 说 法 颇 为 可 信 。 
qstr_It_appears_{s31}_has|似 乎 {s31}把 最 近 关 于 {s32}不 忠 的 传 闻 斥 为 敌 人 无 根 之 谣 。 
qstr_It_seems_that_{s31}_h|看 来 ， {s31}觉 得 最 近 关 于 {s32}不 忠 的 说 法 颇 为 可 信 。 
