3618
qstr_Breaking_camp... Breaking_camp...
qstr_The_poem_the_bard_ha The_poem_the_bard_had_written_for_{s33}_didn't_seem_to_work_very_well.
qstr_Poem_for_a_lady Poem_for_a_lady
qstr_{s33}_seemed_to_like {s33}_seemed_to_like_the_poem_the_bard_had_written_for_her.
qstr_The_bard_s_poem_abou The_bard's_poem_about_you_seems_to_be_spreading_through_the_land.
qstr_Fame_spreads Fame_spreads
qstr_People_say_that_{s31 People_say_that_{s31}_found_a_buried_Viking_hoard_on_{s32}'s_property._The_lords_came_to_blows_over_its_ownership.
qstr_People_say_that_{s31} People_say_that_{s31}_or_his_servants_are_stealing_cattle_from_{s32}'s_property._That_made_{s32}_furious.
qstr_People_say_that_{s31}_ People_say_that_{s31}_served_one_of_{s32}'s_bodyguards_a_horn_of_poisoned_mead._{s32}_is_infuriated.
qstr_People_say_that_{s31}_t People_say_that_{s31}_tried_to_bribe_some_of_{s32}'s_bodyguards_to_get_access_to_the_household,_but_{s32}_found_out.
qstr_People_say_that_a_ru People_say_that_a_rumor_spread_by_an_unknown_traveller_failed_to_incite_enmity_between_{s31}_and_{s32}.
qstr_{s33} {s33}
qstr_Rumors Rumors
qstr_{playername}_is_beli {playername}_is_believed_to_be_behind_the_recent_derogatory_rumors_involving_{s32}_and_{s31}.
qstr_A_recent_rumor_alleg A_recent_rumor_alleges_that_{s32}_hides_behind_his_bodyguards_in_battles.
qstr_A_recent_rumor_allege A_recent_rumor_alleges_that_{s32}_is_practicing_some_kind_of_perverted_rituals_in_his_mead_hall.
qstr_A_recent_rumor_alleges A_recent_rumor_alleges_that_{s32}_is_very_fond_of_his_new_mare,_if_you_know_what_I_mean.
qstr_A_recent_rumor_alleges_ A_recent_rumor_alleges_that_{s32}_would_rather_wield_a_drinking_horn_than_a_sword.
qstr_People_say_that_a_rum People_say_that_a_rumor_spread_by_an_unknown_traveller_about_{s32}_failed_to_damage_his_reputation.
