dlga_start:blocked_agent|这人看起来很忙，也许我还是继续上路的好…… 
dlga_blocked_agent:close_window|对不起，我不是有意打断你的。
dlga_blocked_agent:close_window.1|[离开]
dlga_dog_talk_2:close_window|跟上我！
dlga_dog_talk_2:close_window.1|去吧，{s1} ，去吧！
dlga_dog_talk_2:close_window.2|{s1} ，停下！
dlga_dog_talk_2:dog_talk_pretrain|来，我有些东西给你…… 
dlga_dog_talk_2:close_window.3|我会叫你…… 
dlga_dog_talk_2:close_window.4|坏狗狗！走开！我不要你了！
dlga_dog_talk_2:close_window.5|扔下！
dlga_start:dog_talk_recruit| 
dlga_dog_talk_recruit:dog_talk_1|来，给你一根火腿！
dlga_dog_talk_recruit:close_window|好孩子！
dlga_dog_talk_recruit:close_window.1|走开！
dlga_dog_talk_pretrain:dog_talk_train|来，我有些东西给你…… 
dlga_dog_talk_train:dog_talk_pretrain|你看起来气色不好。来，我给你一个{s7} ！
dlga_dog_talk_train:dog_talk_pretrain.1|来，这个{s7} 会让你更强壮！
dlga_dog_talk_train:dog_talk_pretrain.2|我想让你结实些。这些{s7} 对你有好处！
dlga_dog_talk_train:dog_talk_pretrain.3|你太瘦了，来，我给你些{s7} ！
dlga_dog_talk_train:dog_talk_pretrain.4|我的朋友，你能跑得更快。这些{s7} 是给你的！
dlga_dog_talk_train:dog_talk_pretrain.5|拿这些{s7} 磨磨牙！
dlga_dog_talk_train:dog_talk_1|我没有食物给你了。
dlga_dog_talk_train:dog_talk_1.1|今天就这么多吧。
dlga_start:close_window.1|你去看看你的母亲，给她打点些东西让她安心上路。
dlga_start:close_window.2|我在等某个人，他与一个女孩同行，你见过他们吗？
dlga_start:close_window.3|啊，你是{playername} 。索里克说过你会来的。上船吧，我和我的人会让你见识下这船有多轻捷。
dlga_start:port_chief_travel|嘿！你是要往下一个城镇去吗？
dlga_start:close_window.4|请等所有人都上船。
dlga_port_chief2:port_chief3|你需要什么？
dlga_port_chief3:port_chief_fleet1|你好，我是来加入牛颈斯温和哈罗德· 哈罗德逊的舰队。他们即将远航英格兰。
dlga_port_chief3:port_chief_bodoletter1|一个叫阿提利· 埃里克逊的人不久前离开了这个港口。你知道他去哪了吗？
dlga_port_chief3:port_chief_pieles|我已经把皮毛给了霍格尼，现在该你了。阿提利· 埃里克逊在哪？
dlga_port_chief3:port_chief_catach|我在格伦达洛谷修道院拿到了“科伦西尔之经”。
dlga_port_chief3:port_chief_catach32|可惜格伦达洛谷太远了。你能改为收钱吗？
dlga_port_chief3:port_chief_svenlair|你知道我想要什么。牛颈斯温的老巢在哪？
dlga_port_chief3:port_chief_buy_ship|我想买条船。
dlga_port_chief_buy_ship:close_window|跟我来！
dlga_port_chief3:port_chief_info_main|我有些关于船和航海的问题。
dlga_port_chief_info_main:port_chief_info_main_1|你想知道些什么？
dlga_port_chief_info_main_1:port_chief_info_a_1|人们为什么出海？
dlga_port_chief_info_main_1:port_chief_info_b_1|我怎么在海上辨别航向？
dlga_port_chief_info_main_1:port_chief_info_c_1|我想买船的话需要知道些什么？
dlga_port_chief_info_main_1:port_chief_info_d_1|怎样加快航速？
dlga_port_chief_info_main_1:port_chief2|我已经了解了，谢谢！
dlga_port_chief_info_a_1:port_chief_info_main|你可以通过航运奴隶与货物赚大钱。其他人则是靠船来袭掠聚居地。最后，只有你拥有条艘船，维京人才会尊你为首领。
dlga_port_chief_info_b_1:port_chief_info_main|白天观察太阳，晚上好好休息。寻求航向，乘风破浪。
dlga_port_chief_info_c_1:port_chief_info_c_2|首先你要清楚用船做什么。如果你想做生意，那么也许克诺尔是个好的选择。它们庞大的舱体便于储货，但航速不快。斯奈克和斯盖德以及布斯是快速战舰，可搭载大量士兵。卡夫则介于二者之间。如果你的人不多，那像白瑞丁这样的小船也许更适合你。
dlga_port_chief_info_c_2:port_chief_info_main|此外还要注意造船所用木材。橡木所制虽然价格不菲但是质地最好。榉木制虽然便宜，但更易腐坏。
dlga_port_chief_info_d_1:port_chief_info_main|风力！适时打开风帆最大程度利用风力。风平浪静，你需要多多益善的船员加速航行。舰队的航速取决于最慢的那艘船。导航技能的提高也可以提升船队的航速。
dlga_port_chief3:port_chief_travel|我想去往另一个港口。
dlga_port_chief_travel:close_window|抱歉，渡口目前没有途经船只可以运输一位元帅和一整支军队。
dlga_port_chief_travel:close_window.1|抱歉，目前没有途经的船只可以运输你的队伍以及商人和他的货物。
dlga_port_chief_travel:port_chief_travel_2|从这里可以前往弗里斯，丹麦，挪威和英格兰的港口，你想去哪？
dlga_port_chief_travel:port_chief_travel_2.1|从这里可以前往英格兰和爱尔兰的港口，你想去哪？
dlga_port_chief_travel:close_window.2|很抱歉。目前该港口没有客运船只。
dlga_port_chief_travel_2:close_window|我改主意了。
dlga_port_chief_travel_3:port_chief_travel_4|你是想去{s1} 吗？{s2}
dlga_port_chief_travel_4:port_chief_travel_5|启航了！
dlga_port_chief_travel_5:close_window|跟我来！
dlga_port_chief3:port_chief_pick_up_ship1|我的船备好了吗？
dlga_port_chief_pick_up_ship1:port_chief2|我和我的人还在准备中。过{reg1}天再来吧。
dlga_port_chief_pick_up_ship1:port_chief_pick_up_ship2|船备好了！你想现在启航吗？
dlga_port_chief_pick_up_ship2:port_chief_pick_up_ship3|没错！
dlga_port_chief_pick_up_ship2:port_chief2|不，先不了。
dlga_port_chief_pick_up_ship3:port_chief2|抱歉，你的提督技能不足以在这个港口为船队增加新船只。
dlga_port_chief_pick_up_ship3:close_window|那么，来瞧瞧，给它起个名字吧。
dlga_port_chief_pick_up_ship3:port_chief2.1|这港口没有再容纳一艘船的空间了。
dlga_port_chief3:port_chief_build_ship_main|我希望你给我造艘船。
dlga_port_chief_build_ship_main:port_chief_build_ship_main_1|你想要什么船？
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2|我仅仅需要艘小白瑞丁。
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.1|我想要艘克诺尔跑生意。
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.2|一艘出色的斯奈克战舰！
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.3|我想要巨型战舰斯盖德。
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.4|我有许多武士，给我造艘布斯吧？
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.5|我要一艘出色的全能型船卡夫。
dlga_port_chief_build_ship_main_1:port_chief2|我改主意了。
dlga_port_chief_build_ship_main_2:port_chief_build_ship_main|抱歉，我技术不够。只有诺尔斯人能造{s11} 。
dlga_port_chief_build_ship_main_2:port_chief_info_main_3|你想用什么木材？
dlga_port_chief_info_main_3:port_chief_build_ship_main_4|橡木，我看重品质。
dlga_port_chief_info_main_3:port_chief_build_ship_main_4.1|松木就好。
dlga_port_chief_info_main_3:port_chief_build_ship_main_4.2|我不想花太多钱，我要灰木。
dlga_port_chief_info_main_3:port_chief2|我改主意了。
dlga_port_chief_build_ship_main_4:port_chief_build_ship_main_5|用{s12} 木造你的{s11} 我收价{reg11} 先令。{s2}工期是{reg12} 天。
dlga_port_chief_build_ship_main_5:port_chief_build_ship_main_6|给我造这艘船！
dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_1|呃，我看起来像商人吗？我可没有这些东西。
dlga_port_chief_build_ship_missing_1:port_chief2|抱歉，但没这些材料的话我没法完成你的船。去采购好了再回来吧。
dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_2|我没有足够的钱。
dlga_port_chief_build_ship_missing_2:port_chief2|抱歉，我也得养活家里和手下人。你有钱了再来找我吧。
dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_3|我会考虑这些，回头见吧。
dlga_port_chief_build_ship_missing_3:port_chief2|请自便。但相信我，我的船对得起你花的每个子。
dlga_port_chief_build_ship_main_6:port_chief2|很好，{reg12} 天后再回来吧。
dlga_port_chief3:close_window|明白了，再见。
dlga_port_chief_fleet1:port_chief_fleet2|{s2}^^一切安好，{playername} 。看来你在这已经名声鹊起了。与你共事是我的荣幸，史书上必然有你一席之地！斯温和哈罗德的舰队就在湾那边，大概有五十艘船，多是战舰，总兵力超过八百。你在丹麦的事完成了吗？准备好启航了吗？我敢说一旦出航近期你无法折返了！
dlga_port_chief_fleet2:the_fleetmt1|是的，我们开始吧，让我的人登舰。
dlga_the_fleetmt1:close_window|嗯，祝你好运，朋友。如你所见，这有很多船，但舰队的主力泊在城外海湾对面。准备好了就去加入他们吧！
dlga_port_chief_fleet2:port_chief2|不，我还有些事要办，我去去就回。
dlga_port_chief_catach:port_chief_catach2|{s2}^^那么，把书给我，我会告诉你你想知道的事。
dlga_port_chief_catach2:port_chief_catach31|给，拿着。现在，告诉我斯温的藏身之处？
dlga_port_chief_catach2:port_chief_catach32|真不巧，我把书丢了。你能改为收钱吗？
dlga_port_chief_catach32:port_chief_catach4|我的委托人不会高兴的，人们会知道你不是个可靠的人。我的委托人会为这书付我10000 先令，你有这么多钱吗？
dlga_port_chief_catach4:port_chief_catach5|我有足够的钱。给，拿着，告诉我斯温在哪！
dlga_port_chief_catach4:port_chief2|真不巧，没有。我一凑够就会回来。
dlga_port_chief_catach5:port_chief_catach5_1|哦，老天爷… 你真是有钱！巢穴在那，在丹麦，里伯的东北，顺流而上。再会。
dlga_port_chief_catach5_1:port_chief2|谢谢你。
dlga_port_chief_catach31:port_chief_catach31_1|嗯，谢谢你。巢穴在那，在丹麦，里伯的东北，顺流而上。再会。
dlga_port_chief_catach31_1:port_chief2|谢谢你。
dlga_port_chief_svenlair:port_chief_svenlair2|{s2}^^朋友，干嘛这么大声？没必要让这港口的其他人知道我们在说什么。我知道有人跟你说了些我的事。无妨，这就是做生意的方式。^^那么，你想知道那位置，其实那地方不难找，但总得付出点什么，当然了，可不便宜。牛颈斯温可是个危险的家伙。
dlga_port_chief_svenlair2:port_chief_svenlair3|{s2}^^听好了。走运的是，我需要你这样的人。我需要你去爱尔兰，呃，某种意义上成为“袭掠者”。我有个委托人想要一本被那的某家修道院奉为圣物的书。修道院叫格伦达洛谷，书的名字则是“科伦西尔之经”。其他东西都归你，我只对那本书感兴趣，把书带回来你就能知道牛颈斯温的藏身之地。
dlga_port_chief_svenlair3:port_chief_svenlair31|听起来不错！我会把书带给你的。回头见。
dlga_port_chief_svenlair3:port_chief_svenlair32|我不会洗劫修道院，更不会杀修士。
dlga_port_chief_svenlair3:port_chief_svenlair33|我更不想关注什么书，我打算付钱来买这情报。
dlga_port_chief_svenlair31:close_window|那么，我在这等你。我建议你修理整备船只，爱尔兰路途遥远。记得带上足够的人马，爱尔兰人内战已久，早已熟谙兵事。再会。
dlga_port_chief_svenlair32:close_window|那就买下那书。我不在乎你怎么把它搞到手，把它弄来就是了。另外，我建议你修理整备船只，去爱尔兰路途遥远。记得带上足够的人马，戈伊德尔人内战已久，早已熟谙兵事。再会。
dlga_port_chief_svenlair33:port_chief_svenlair4|那么，这难道不是个有趣的选择吗？我的委托人为这书出价10000 先令，你有这么多钱吗？
dlga_port_chief_svenlair4:port_chief_svenlair5|我有足够的钱。拿着，告诉我斯温藏在哪里。
dlga_port_chief_svenlair4:port_chief_svenlair31|不巧的是，没有那么多钱。我会把书带来的，回头见。
dlga_port_chief_svenlair5:port_chief_svenlair5_1|哦，老天爷… 你真是有钱！巢穴在那，在丹麦，里伯的东北，顺流而上。再会。
dlga_port_chief_svenlair5_1:port_chief2|谢谢你。
dlga_port_chief_bodoletter1:port_chief_bodoletter2|{s2}^^你为什么总是那么大声？嗯，你知道我的，我是个好线人，但获取情报要付钱的。
dlga_port_chief_bodoletter2:port_chief_bodoletter3|{s2}^^听好了。这情报可特别重要。我们在说的可是丹麦的二号人物，“蛇眼”西格德。12000 先令怎么样？你有这么多钱吗？没有的话，也许你能帮我个小忙。我有个委托人需要运毛皮到爱尔兰的都柏林。如果你帮我的话，作为回报，我会给你情报。
dlga_port_chief_bodoletter3:port_chief_bodoletter_pieles|那好，成交。我会帮你运毛皮。
dlga_port_chief_bodoletter3:port_chief_bodoletter4|哦，我有这么多钱。给你，他现在在哪？
dlga_port_chief_bodoletter3:port_chief_bodoletter7|但我们是老朋友啊，伙计。看在往日的情分上，不给点折扣吗？
dlga_port_chief_bodoletter3:port_chief_bodoletter3_1|不巧的是，没有。我会尽快带钱来的。
dlga_port_chief_bodoletter_pieles:close_window|很高兴听你这么说。去都柏林把毛皮交给一个叫霍格尼的人，他是那儿的商人，你应该很容易就能找到他。我建议你带上其他在远处紧俏的货物。等你带着收据回来就能得到你的情报了。
dlga_port_chief_bodoletter3_1:port_chief2|那就等你有钱了再来，我没空搭理乞丐。
dlga_port_chief_bodoletter4:port_chief_bodoletter5|你真有钱啊！那好，阿提利· 埃里克逊在挪威。至少他的一个手下是这么告诉这里的妓女的。很明显阿提利带了什么需要藏匿的重要事物… 至少目前看来是的。他藏在挪威北岸的一个山洞，在霍达兰附近。再会。
dlga_port_chief_bodoletter5:port_chief2|谢谢。
dlga_port_chief_bodoletter7:port_chief_bodoletter8|呃，那好，仅此一次，不准告诉其他人，我还要在意名声呢。8000 先令，这情报就是你的了。有钱吗？
dlga_port_chief_bodoletter8:port_chief_bodoletter9|是的，我当然有。给你，他在哪？
dlga_port_chief_bodoletter8:port_chief_bodoletter3_1|不巧的是，没有。我会尽快带钱来的。
dlga_port_chief_bodoletter9:port_chief_bodoletter5|好吧，但记住了，不能再砍价了。那么，阿提利· 埃里克逊在挪威。至少他的一个手下是这么跟这的妓女说的。很明显阿提利带了什么需要藏匿的重要事物… 至少目前看来是的。他藏在挪威北岸的一个山洞，在霍达兰附近。再会。
dlga_port_chief_pieles:port_chief_bodoletter5|我喜欢和你做生意。那么，阿提利· 埃里克逊在挪威。至少他的一个手下是这么跟这的妓女说的。很明显阿提利带了什么需要藏匿的重要事物… 至少目前看来是的。他藏在挪威北岸的一个山洞，在霍达兰附近。再会。
dlga_start:port_prisoners|你是谁？
dlga_port_prisoners:port_prisoners_2|你是在找一个奴隶贩子吗？{s9} 没了我的奴隶就没法发展，所以你要是有战俘的话我很乐意买下他们。
dlga_port_prisoners_2:port_prisoners_3|我带来了些俘虏。
dlga_port_prisoners_2:close_window|再见。
dlga_port_prisoners_3:port_prisoners_4|很高兴听到这，我们走。
dlga_port_prisoners_4:close_window|和你做生意真好。
dlga_start:port_r_2|你好。我是管理{s9} 港事务的资深船长。要是你想招募水手，尽管来找我。
dlga_port_crew_talk:port_r_2|还需要我为你做些什么吗？
dlga_port_r_2:port_recruitsl|我想招募水手。
dlga_port_recruitsl:port_crew_talk|眼下港内没有可用的水手，回头再来吧，{reg59?女士:先生} 。
dlga_port_recruitsl:port_crew_talk.1|我觉得不有人会感兴趣，{reg59?女士:先生} ，在你的队伍中需要更多位置。
dlga_port_recruitsl:port_recruits2|我想会有{reg5} 个人，如果你肯付每人40 先令的装备费用，我猜他们会立刻答应。听起来如何？
dlga_port_recruits2:port_crew_talk|告诉{reg7?他们:他}去准备好。
dlga_port_recruits2:port_crew_talk.1|不，先不了。
dlga_port_r_2:port_crew_fleetpr|我叫{playername} … 
dlga_port_crew_fleetpr:close_window|抱歉，我正忙着为船队准备船只和补给。你要是不需要水手，请别打搅我，回头再来。
dlga_port_r_2:port_crew_fleet1|我叫{playername} 。阿弗宁· 艾弗德派我来的。
dlga_port_r_2:port_crew_fleet1.1|我叫{playername} 。是拉弗伯斯雅尔派我来的。
dlga_port_crew_fleet1:port_crew_fleet2|^^你好，{playername} 。我得到通知说你要来了。你负责管理驶往法兰克的一支舰队。伙计们，向导和船都等着你呢。
dlga_port_crew_fleet2:the_fleetcrew1|是的，时候到了，当纳莱斯在等着我。
dlga_the_fleetcrew1:close_window|我听说这要花几个礼拜，甚至几个月，所以祝你好运。你的舰队正在港口的出口处待命。乘上你的船启航吧。
dlga_port_crew_fleet2:close_window|不，我还有些事要办。我会回来的。
