menu_start_game_0|欢迎来到维京征服世界（游戏版本V2.064）。
mno_continue_i|继续……
mno_continue_cheat|跳过教程。
mno_go_back_dot|后退。
menu_start_game_3|选择剧本
mno_go_back|后退
menu_tutorial|你进入了训练场，不少当地人都在里面进行着武器的训练。在这里你可以通过各种训练来提高你的战斗技巧。
mno_continue|继续……
menu_reports|角色声望：{reg5}^荣誉级别：{reg6}^部队士气：{reg8}^部队上限：{reg7}^
mno_resume_travelling|继续旅程。
menu_start_phase_2x|后退
mno_town_4|继续
menu_custom_battle_end|战斗结束，在这场战斗中，{s1}你的队伍杀死了{reg5}人，敌人的队伍杀死了{reg6} ，你杀死了{reg7}人。
menu_start_game_2|欢迎来到维京征服世界
menu_start_game_1|欢迎来到维京征服世界
menu_start_game_11|退出？
menu_start_game_4|你已经做出了一些选择。你在冒险开始后将无法改变。你仍然坚持你的选择开始你的冒险吗？
menu_camp|营地已经建好了，你想要做什么？
mno_camp_action|干点事情。
mno_camp_wait_here|在这里待一会儿。
menu_camp_action_rest|扎营允许你的士兵从长途跋涉中得到休息，也允许你搜寻食物来补充库存粮草。这一点在你进入敌人领地时非常有用，因为你将难以购买补给。
menu_build_refuge_new|你的士兵等待你下令开始建立避难所。现在有足够的材料，并且缺失的材料可以在附近村庄购买。^^总成本：1000先令。^需要时间：6小时。
mno_refuge_here|是的。
menu_camp_cheat|选择作弊项目：
mno_camp_cheat_find_item|查找一件物品……
mno_testing_cheats|使用作弊代码。
mno_back_to_camp_menu|回到宿营菜单。
menu_cheat_testing_cheats1|选择一个作弊效果。
menu_storyline_cheat|选择一项作弊：
mno_back_cm|后退。
menu_camp_action|选择你要做的事：
mno_toggle_cheat_on|作弊目录开启。
mno_toggle_cheat_off|作弊目录关闭。
mno_camp_action_4|退回营地菜单。
menu_camp_recruit_prisoners|你答应这些俘虏，如果他们加入你的话，你就给予他们自由。{s18}
mno_camp_recruit_prisoners_accept|接受。
mno_camp_recruit_prisoners_half|招降一半。
mno_camp_recruit_prisoners_reject|拒绝。
menu_camp_no_prisoners|你没有俘虏可以招降。
menu_camp_action_read_book|选一本书读：
menu_retirement_verify|现在总共冒险的时间是{reg0}天，运气是{reg1} 。你确实想要从这场冒险中退出吗？
mno_yes_dot|是的。
mno_no_dot|不。
menu_end_game|去意已决，你决定放弃冒险者的生活，并定居下来。你卖掉了所有的武器与护甲，收拾起行囊，策马奔向夕阳的余辉之中……
mno_end_game_bye|再会。
