str_yes|是
str_no|否
str_blank_string| 
str_noone|无人
str_s50_and_s51|{s50}和{s51}
str_s52_and_s51|{s52}和{s51}
str_s5_s_party|{s5}的部队
str_given_by_s1_at_s2|{s2}的{s1}给予
str_given_by_s1_in_wilderness|野外的{s1}给予
str_s7_raiders|{s7}掠夺者
str_bandits_eliminated_by_another|难对付的强盗被别的队伍消灭了。
str_msg_battle_won|战斗胜利！你的敌人被屠杀( 按TAB键离开)
str_tutorial_map1|你现在处于地图模式中。在地图上按左键可以旅行/ 进入镇子/ 或与其他队伍遭遇。如果你的队伍停止不动，时间不会流逝。如果你想在某处等待，按住空格键一直不动（再按住Ctrl键可以使时间加速流逝）。^这是存档的好时机！按ESC键然后选择保存，也可以按F12来快速存档^^欢迎来到维京征服世界！
str_tutorial_map11|现在你拥有一支强大的军队，返回雅尔处获得下一步的指示。
str_randomize|随机
str_charge|填充
str_color|颜色
str_flip_horizontal|水平翻转
str_flip_vertical|垂直翻转
str_hold_fire|停止射击
str_blunt_hold_fire|钝器/ 停止射击
str_tutorial_ammo_refilled|填满弹药。
str_tutorial_failed|你失败了。不过不要紧。小心地跟着提示去做，你就能在下一次完成得更好。现在请按“TAB ”键来回到菜单，并重新开始教程。
str_tutorialmq_1_msg_1|你将在本教程中学习移动、互动和战斗的基础知识。^^在维京征服世界中，你使用鼠标来控制你观看的方向，和W ，A ，S ，和D 键来移动。你的第一个任务是…… ^^目标：前往船中心。
str_tutorialmq_1_msg_2|干得好。接着我们将会说明如何与物品和人物互动。在你附近，有一个叫博多的男人。如果你想找到一个人，请移动到该角色前使名字框弹出。当你找到博多时，按F键与其谈话。^^使用F键可以与人物和场景物品互动。你可以进行打开门、箱子或捡起物品等动作。^^目标：与博多谈话。
str_tutorialmq_1_msg_3|漂亮。然后，我们将进行武器的教学。^^将鼠标滚轮向上滚动，或者使用小键盘中相对应的数字键，你可以切换武器栏中的不同武器。^^点击鼠标左键，你将使用当前武器进行攻击。按住鼠标左键不放以准备攻击，然后松开以施展攻击。如果你在施展攻击前按住鼠标的时间更长，那么你的攻击则会更强。^^鼠标滚轮向下滚动或者使用数字键盘，可以取出或收下盾牌。^^目标：与老兵谈话，练习格斗。
str_tutorialmq_1_msg_4|干得好！你现在掌握了维京征服的基本概念。现在你可以进行探索、与NPC进行交谈、在船上战斗，或者，当你准备好的时候，和船长交谈来继续你的冒险。
str_finished| （完成）
str_delivered_damage|施加了{reg60}点伤害。
str_archery_target_hit|距离：{reg61}码。得分：{reg60}
str_use_baggage_for_inventory|在战斗中你的行李在你开始的地方，通过行李打开你的物品栏。
str_cant_use_inventory_now|不能在这里打开物品栏。
str_cant_use_inventory_arena|不能在这里打开物品栏。
str_cant_use_inventory_disguised|不能在伪装时打开物品栏。
str_cant_use_inventory_tutorial|在训练营不能打开物品栏。
str_1_denar|1先令
str_reg1_denars|{reg1}先令
str_january_reg1_reg2|{reg2}年1月{reg1}日
str_february_reg1_reg2|{reg2}年2月{reg1}日
str_march_reg1_reg2|{reg2}年3月{reg1}日
str_april_reg1_reg2|{reg2}年4月{reg1}日
str_may_reg1_reg2|{reg2}年5月{reg1}日
str_june_reg1_reg2|{reg2}年6月{reg1}日
str_july_reg1_reg2|{reg2}年7月{reg1}日
str_august_reg1_reg2|{reg2}年8月{reg1}日
str_september_reg1_reg2|{reg2}年9月{reg1}日
str_october_reg1_reg2|{reg2}年10月{reg1}日
str_november_reg1_reg2|{reg2}年11月{reg1}日
str_december_reg1_reg2|{reg2}年12月{reg1}日
str_town_nighttime|现在是深夜，街上冷清清的。
str_door_locked|门锁上了。
str_castle_is_abondened|看来这是一座无主的堡垒。
str_town_is_abondened|镇子无人驻防。
str_place_is_occupied_by_player|这里被你自己的部队把守着。
str_place_is_occupied_by_enemy|这里被敌人把守着。
str_place_is_occupied_by_friendly|这里被友军把守着。
str_do_you_want_to_retreat|你确定要撤退吗？
str_give_up_fight|放弃战斗？
str_do_you_wish_to_leave_tutorial|你想要离开教程吗？
str_do_you_wish_to_surrender|你想投降吗？
str_can_not_retreat|不能撤退！附近有敌人。
str_s1_joined_battle_enemy|敌方{s1}加入战斗。
str_s1_joined_battle_friend|我方{s1}加入战斗。
str_entrance_to_town_forbidden|这里的守卫正在搜寻敌人，你没法轻易从大门溜进去。
str_sneaking_to_town_impossible|这里的守卫警惕性很高，不管你怎么伪装都没法溜进去。
str_battle_won|你赢得了这场战斗！
str_battle_lost|你输掉了这场战斗！
str_attack_walls_success|在一阵浴血战斗之后，你士兵奋勇攻下了城头。
str_attack_walls_failure|你的守城士兵在一波又一波的攻击中坚持到了最后一个人。
str_attack_walls_continue|浴血的战斗展现了双方的英勇。尽管你的战士很努力，城堡上还是飘着敌人的旗子。
str_order_attack_success|你的士兵奋勇击退了敌人。
str_order_attack_failure|你看着敌人砍翻了你最后一个战士。
str_order_attack_continue|你的士兵与敌人遭遇，却无法将他们击退。
str_join_order_attack_success|你的士兵和你的盟军合力打败了敌人。
str_join_order_attack_failure|你看着敌人砍翻了你最后一个战士。
str_join_order_attack_continue|你的士兵和盟友一起与敌厮杀，却无法将他们杀光。
str_siege_defender_order_attack_success|防守方奋勇杀敌，击败了敌人。
str_siege_defender_order_attack_failure|你绝望的看着围攻的敌人杀死了最后的一个抵抗者。
str_siege_defender_order_attack_continue|防守方迎击敌人，但最终还是败下阵来。
str_hero_taken_prisoner|{s3}的{s1}被{s2}俘虏。
str_hero_freed|{s3}的{s1}被{s2}成功解救。
str_center_captured|{s2}从{s3}那里夺取了{s1} 。
str_troop_relation_increased|你与{s1}的关系从{reg1}提升到{reg2} 。
str_troop_relation_detoriated|你与{s1}的关系从{reg1}恶化为{reg2} 。
str_faction_relation_increased|你与{s1}的关系从{reg1}提升到{reg2} 。
str_faction_relation_detoriated|你与{s1}的关系从{reg1}恶化为{reg2} 。
str_party_gained_morale|部队的士气加{reg1} 。
str_party_lost_morale|部队的士气减{reg1} 。
str_other_party_gained_morale|{s1}获得{reg1}士气。
str_other_party_lost_morale|{s1}失去{reg1}士气。
str_qst_follow_spy_noticed_you|那个间谍觉察到你了，他准备开溜了！
str_duplicate|父亲
str_s3s_s2|{s3}的{s2}
str_s5_is_s51|{s5}是{s51} 。
str_s5_is_the_ruler_of_s51|{s5}是{s51}的领主。
str_s5_is_a_nobleman_of_s6|{s5}是{s6}的贵族。
str_relation_mnus_100|势同水火的
str_relation_mnus_90|势同水火的
str_relation_mnus_80|势同水火的
str_relation_mnus_70|充满敌意的
str_relation_mnus_60|充满敌意的
str_relation_mnus_50|狠狠地盯着你的
str_relation_mnus_40|非常讨厌你的
str_relation_mnus_30|开始厌恶你的
str_relation_mnus_20|警惕地看着你的
str_relation_mnus_10|意味深长地看着你的
str_relation_plus_0|面无表情的看着你的
str_relation_plus_10|开始接受你的
str_relation_plus_20|友善地看着你的
str_relation_plus_30|亲切地看着你的
str_relation_plus_40|热切地望着你的
str_relation_plus_50|对你交口称赞的
str_relation_plus_60|非常支持你
str_relation_plus_70|非常尊敬你
str_relation_plus_80|为你欢呼
str_relation_plus_90|对你忠心耿耿
str_relation_mnus_100_ns|{s60}与你势同水火。
str_relation_mnus_90_ns|{s60}与你势同水火。
