ip_armies_size|部队规模
ip_armies_size_text|你的部队规模，同领主们一样受到以下因素的影响：^^统御：每点增加队伍规模上限5人。招募有统帅能力的伙伴可以帮助你领导部队。^^魅力：每点增加队伍规模上限1人。吸引伙伴跟随你的事业的能力就是魅力。^^声望：每9点增加队伍规模上限1人。声望吸引追随者。^^领地：每座城镇增加队伍规模上限80人，每座城堡增加队伍规模上限40人。领地意味着你有更大的征兵空间。^^记住在海上，你的队伍规模受限于你战船的容量。额外的兵力可以放置在领地作为守备，或者是安排在玩家的避难所（需要建立），或者任意岗哨。
ip_morale|士气
ip_morale_text|士气让部队中的士兵们保持坚忍不拔，勇往直前，和纪律严明的能力和积极性，这些都是他们抵御战斗和行军当中的压力所必需的。这个和士兵们的愉悦度不是一回事情。精锐部队也许会因不满而抱怨战役的艰苦——但是当他们面对如蝗飞矢的时候还是会坚如磐石团结如一。另一方面，一个无微不至给予他的部下任何需求的指挥官，也许反而会发现他们变得软弱，并且在敌人进攻前就望风而逃。^^士气最大的影响是对于部队在战斗中的行为，决斗了士兵与敌人交战时有多凶猛，以及当他们发现战场形势不对时有多想落荒而逃。士气同样影响一支部队的行军速度，越没有动力的队伍跑的就越慢，因为这种情况下部下不会尽力而为，并且经常要停下来休息，所以经常要等掉队的人赶上来。最终，一支士气低下的部队就会有人开小差逃走。^^一些影响士气的因素是很直观的。比如，一个魅力过人并且百战百胜的指挥官可以给他或者她的部下在精神上以极大的鼓舞。给部下提供大量而又丰富食物，并且不拖欠部下佣金的领袖们，表现的很关心他们的士兵的福利，并且不喜欢带领他们深赴险地。^^另外一些因素就不是那么直观了——特别是那些涉及部队的团队凝聚力方面的。例如，在一支精兵队伍里，个个都会和优势兵力的敌人艰苦作战毫不畏缩，因为你的胆小与否别人都能看得到。相对的面对一支庞大的队伍你也许就会看到其内部团结有问题，这是由于指挥官没有更多的时间来监督部下，倾听他们的抱怨，并且解决他们之间的争端。频繁的战事将使战士们团结，而长时间的无所事事会使士兵们变得无聊和相互争吵。^^通过点击“报告”按钮来显示的士气报告，将给玩家显示哪些因素正在影响他或她部下的士气。
ip_economy|经济
ip_economy_text|北地的城镇和村庄为了其人口的正常生存和生产都需要非常多样化的商品。民以食为天。谷物是北地的主要农作物，但是人们还需要肉类，鱼类和奶酪提供的脂肪和蛋白质。而第一时间里将肉类妥善保存起来的工作差不多和生产肉类一样繁重，因此食盐的需求也很巨大。要解决温饱还需要衣服：厚重的羊毛，轻盈的亚麻，或者奢华的天鹅绒。最后，人们还需要用于贸易的各种物品：铁器，陶器，皮革制品，当然，还有，用于战争的武器，盔甲，以及马匹。^^大多数农业产品产自于村庄，而城镇里的工匠则专门从事于制造品或者手工艺品比如织物或者铁器。同样的，不同的资源产自于国家的不同行当。因此，北地繁荣的关键是贸易——不但是村庄和城镇之间，还包括那些主要城镇本身之间。^^当贸易流通时，商品将能够被使用和消费，该地区的人口将会健康而又愉悦，并且会有移居者从附近地区聚集过来。该地区将会生产更多，消费更多，进而能够给他们的领主贡献更多的税金。当贸易停滞，城镇和村庄的工人就会离开去别处找工作，而经济活动也将停止。从而，为了统治者的利益得去保护贸易路线免遭战争和匪患的威胁。可是，一个精明的商人，会希望搜索到与北地其它地方隔离的城镇，因为他或者她也许能够从不平衡的价格之中获得相当可观的收益。^^因为村民总是把他们出产的商品运往城镇的市场，村庄的市场通常没什么生意，而村民们总是贱买贵卖。正经的商人都待在城镇里做买卖，虽然有些队伍会不时在村庄稍作停留做些补给。^^一个玩家如果要想知道哪些因素影响着某个地区的繁荣度可以去问问城镇广场上的镇长。别的信息可以从路人那里收集到，尽管他们也许不太清楚他们自己特定贸易以外的东西。
ip_courtship|求爱
ip_courtship_text|玩家们也许希望和北地的世家贵族联姻。婚姻并不是玩家在北地施展自己的本领和才干所必须的，但是这提供给了玩家增进和领主们的关系以及确立对王位主张的机会。^^结婚的条件对于男性和女性玩家是不同的。一个男性角色通常需要进行传统方式的求爱。他需要在北地贵族圈里建立自己的声望，要和他新娘的父母或者监护人相处融洽，并且按照当地习俗向女孩求爱。如果某个玩家变得不耐烦起来，他可以试图走捷径——但是会对他和其他领主之间的关系产生后果。^^一个男性角色得记住其他领主会为了王国的闺秀和他竞争。同样，女孩子的小考验也是随时随地的，而玩家也许会发现他求爱的对象到头来并不爱他。浪漫史，在北地，和在其它地方一样，有情人不一定总成眷属。当然，玩家也可以使用别的，不太绅士的手段赢得女孩子的心，但是同样的，那会对他的名声带来严重的影响。^^要开始一段求爱的旅程，男性玩家需要试着融入北地贵族的社交生活，出席宴会和竞技大会。同样，流浪的歌手和诗人可以成为获得求爱信息的有用的知识库，并且能让玩家随时知道当下人们都在谈论些什么。^^女性玩家也可以结婚——但是她们得记住北地的社会非常传统，而且，作为冒险者，她们选择了一条非常反传统的女性之路。一名女性角色也许要好好找找某个思想足够开放的领主来娶她。^^作为好的一面，一名女性角色不需要经过冗繁的求爱礼仪，并且她同样可以从婚姻中比她的男性配偶得到的更多。作为一名女性冒险家，婚姻可以成为通往权力的捷径——而一名不择手段的角色也许会把她的丈夫当作她实现政治野心的工具。
ip_politics|政治
ip_politics_text|北地诸国，尽管拥有各自不同的文化，但都实行着一个早于封建制的政治体系。在日耳曼社会中，最高的统治者是国王。而国王是由贵族组成的议会选举产生。王国所有的土地都属于国王，国王则把土地分给贵族和对王国有贡献的人。但这些土地并不是他们的私有的，在他们死后，都会被收归国王。贵族们以国王的名义确保每块领地的统治和公正，并在战时带领征召兵前往战场。为了这个目的，贵族们又把土地分给那些能够发展农村经济的自由民。而这些平时种田畜牧的人又得向他们的领主赋税并履行一些义务，诸如兵役，城堡建设等活动。^^这种情况很普遍，各级贵族们也是如此。而逐渐强大的修道院则对它的教区实行自治。^^不同的是，在凯尔特社会中（盖尔，威尔士和皮克特），他们更注重血缘，氏族。是一个由一群拥有相同祖先的同族人组成的独立社会。^^当北地的某个国家和别国开战，各个王国内部在政治上是否团结，严重影响到其能够决定战争结果的士兵的质量和数量。在一个团结的王国，贵族们会联合在一起成为一股强大的力量扫除他们面前的对手。在一个因为喋喋不休的争论而四分五裂的王国里，领主们将不听从元帅的召集，或者在一场战役如果进行的并不顺利的时候四散而去忙他们自己的事情。一个阵营政治上的凝聚力还会在战役没有进行的情况下导致军事冲突。在一个分裂的阵营，领主们在出击和巡逻的时候不大愿意联合行动，还有共同防御。^^如果发现领主们在敌人出现在地平线上的时候因为斗嘴和争论而要弄巧成拙，记住——从根本上讲，一名贵族的忠诚不是对于特定的阵营或者文化，而是对于他自己以及他的家族。如果一个贵族担心他的阵营崩溃，或者是他正在被他的君主忽视，他通常会找个理由撤销他效忠的宣誓，然后投奔别处。玩家要记住这一点，因为你有机会让心中不满的前敌人转变成盟友。
ip_character_backgrounds|角色背景
