qstr_Breaking_camp...|终止宿营。
qstr_The_poem_the_bard_ha|吟游诗人为{s33} 写的诗似乎没有打动她。
qstr_Poem_for_a_lady|给女士的诗
qstr_{s33}_seemed_to_like|{s33} 似乎喜欢这首吟游诗人为她写的诗。
qstr_The_bard_s_poem_abou|吟游诗人讲述你的诗正在广泛传播。
qstr_Fame_spreads|名声传播
qstr_People_say_that_{s31|人们说{s31}发现了一个埋葬维京{s32} 财产墓穴。主对它的所有权争议进行平息。
qstr_People_say_that_{s31}|人们说{s31}或仆人偷了{s32}的财产。那使得{s32}愤怒。
qstr_People_say_that_{s31}_|人们说{s31}侍从之一{s32}一杯毒酒{s32}激怒了。
qstr_People_say_that_{s31}_t|人们说{s31}试图贿赂一些{s32}的保镖进入家庭，但{s32}被发现。
qstr_People_say_that_a_ru|人们说，无名旅客散布的谣言未能煽动{s31} 和{s32}之间的敌意。
qstr_{s33}|{s33}
qstr_Rumors|传言
qstr_{playername}_is_beli|{playername}被认为是最近的贬损的传言背后涉及{s32}和{s31}。
qstr_A_recent_rumor_alleg|最近传闻宣称{s32}隐藏在他的保镖背后战斗。
qstr_A_recent_rumor_allege|最近传闻宣称{s32}在他的庄园里练习某种扭曲的仪式。
qstr_A_recent_rumor_alleges|最近传闻宣称{s32}很喜欢他的新母马，如果你明白我的意思。
qstr_A_recent_rumor_alleges_|最近传闻宣称{s32}相比起剑更想有一个角杯。
qstr_People_say_that_a_rum|人们说，无名旅客散布的关于{s32}的谣言没有损害他的名誉。
qstr_{playername}_is_belie|{playername}被认为是在传播最近的传言{s32}不明智的行为。
qstr_A_recent_rumor_sprea|未知的旅行者声称最近的传言传播{s32}反对{s31}。
qstr_People_say_that_a_rumo|人说，无名旅客散布的“{s32}是个不忠的领主”的谣言之间未能煽动{s32}和{s31}之间的敌意。
qstr_{playername}_is_believ|{playername}被认为是最近{s32}不忠的谣言的幕后主使。
qstr_It_seems_that_{s31}_|看来，{s31}从最近的传言中发现了{s32}不忠的可能。
qstr_It_appears_{s31}_has|似乎{s31} 驳斥了最近关于{s32}不忠的谣言，这只是敌人的流言蜚语。
qstr_It_seems_that_{s31}_h|看来，{s31}发现最近关于{s32}不忠的谣言似乎很有道理。
qstr_It_appears_that_{s31|似乎{s31}驳斥最近关于{s32}不忠的故事，这只是敌人的流言蜚语。
qstr_It_seems_that_{s31}_w|看来，{s31}没有被逗乐{s32}被发现参与偷牛的计划。
qstr_It_appears_{s32}_had|似乎{s32}设法避免最近的谋杀，并且他的关系和{s31}没有受到影响。
qstr_Winter_is_the_worst_|冬天是战争的最坏时机。寒冷，潮湿，食物稀缺。冬天人们宁可躲在室内而不是在外作战。注意你的士气和食物库存。
qstr_{s40}_decided_to_bec|{s40}决定成为一个冒险者{s39}
qstr_It_seems_your_soldie|看来你的士兵用你库存里的饮料度过了一段好时光。
