ui_music_volume|音乐音量：
ui_sound_volume|声效音量：
ui_mouse_sensitivity|鼠标灵敏度：
ui_invert_mouse_y_axis|反转鼠标Y轴
ui_enabled|已使用
ui_disabled|已禁用
ui_damage_to_player|玩家受到的伤害：
ui_reduced_to_1_over_4_easiest|减少到1/4（最简单）
ui_reduced_to_1_over_2_easy|减少到1/2（简单）
ui_damage_to_friends|友军受到的伤害：
ui_reduced_to_1_over_2_easiest|减少到1/2（最简单）
ui_reduced_to_3_over_4_easy|减少到3/4（简单）
ui_normal|正常
ui_combat_ai|战斗AI：
ui_combat_speed|战斗速度：
ui_good|好
ui_average_caps|一般
ui_poor|差
ui_faster|加快
ui_slower|减慢
ui_control_block_direction|控制格挡方向：
ui_automatic_recommended|自动
ui_manual_easy|手动（简单）
ui_manual_hard|手动（困难）
ui_by_mouse_movement|根据鼠标运动方向
ui_control_attack_direction|控制进攻方向：
ui_lance_control|骑枪控制：
ui_by_relative_enemy_position|根据敌人的相对位置
ui_by_inverse_mouse_movement|根据鼠标运动的反方向
ui_battle_size|战斗规模：
ui_show_attack_direction|显示进攻方向
ui_show_targeting_reticule|显示瞄准星
ui_show_names_of_friendly_troops|显示友军和部下头上的旗帜
ui_report_damage|报告伤害值
ui_report_shot_difficulty|报告射击难度
ui_difficulty_rating_percentage|难度等级= %d%%
ui_controls|按键设置
ui_video_options|显示选项
ui_done|完成
ui_factions|阵营
ui_item_itemname|物品- %s
ui_prop_propname|属性- %s
ui_unknown_unknownname|未知- %s
ui_entry_point_entrypointname|入口%d
ui_passage_menu_item_passagename|通道（菜单栏%d）
ui_plant_plantname|植物- %s
ui_export_file_for_character_playername_already_exists_overwrite_it|玩家%s的导出文件已经存在，是否覆盖？
ui_yes|是
ui_no|否
ui_set_save_file_name|为这个存档起个名字：
ui_enter_new_name|键入新名字：
ui_export_character|导出玩家角色
ui_import_character|导入玩家角色
ui_character_playername_exported_successfully|成功导出玩家角色%s。
ui_character_playername_imported_successfully|成功导入玩家角色%s。
ui_unable_to_open_import_file|无法导入玩家文件。
ui_are_you_sure_you_want_to_import_the_character|你确定想要导入这个角色？
ui_unable_to_find_character_import_file|找不到玩家导入文件。
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|骑马与砍杀现在运行的是试玩模式，请购买游戏后再导入。
ui_change_skin|皮肤
ui_change_hair|发型
ui_change_hair_color|发色
ui_change_beard|胡子
ui_tutorial|教程
